Title,Yönetmen,Yönetici  yapımcı,Sunucu,Seslendiren(ler),İlişkili programlar,Anlatıcı,Yaratıcı  yönetmen(ler),Besteci,Mekân,Yapım  şirketi,Geliştiren,Açılış müziği,Sezon sayısı,Kamera,Yayın tarihi,Dili,Kurgucu,Yapımcı,Gösterim süresi,Tema müziği bestecisi,Öykü,Sonra gelen,Proje tasarımcısı,Öykü kurgusu,Dağıtımcı firma,Bölüm sayısı,Resim formatı,Platform,Tür,Format,Yazar,Ülke,Ses formatı,Durumu,Kanal,Önce gelen,Uyarlama,Senarist,Bitiş müziği,Görüntü yönetmeni,Başrol
Kanun Savaşçıları,Emin Gerçeker,,,Ersan Uysal,,,,,,TRT,,,1,,1989 - 1989,Türkçe,,Fide Motan,,,,,,,,234,,,Aksiyon Macera Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  (1989),,,Nuran Devres,,,Serdar Gökhan Eşref Kolçak Özlem Savaş Yusuf Sezgin Savaş Akova Orsel Sonat Sermin Karaali Perin Karaali Tanju Şarman
Sıcak Saatler,Osman Sınav  (1-13) Mustafa Şevki Doğan  (14-28) Sadullah Celen  (29-30) Veli Çelik  (30-67)  Mehmet Aslantuğ  (67-80),,,,,,,Aria,,Sinegraf  (1-17) Detay Film,,,3,,15 Eylül 1997 - 12 Haziran 2000,Türkçe,,,65 dakika,,,,,,,79 (67+12),,,Dram Duygusal Macera Polisiye,Televizyon dizisi,,Türkiye,,Sona erdi,atv,,,Ahmet Yurdakul,,,Mehmet Aslantuğ Arzum Onan Nihat Nikerel Kenan Işık Aytaç Yörükaslan Sevda Ferdağ
Kırık Kanatlar,Çağatay Tosun Faruk Teber Temel Gürsu Haluk Bener Cevdet Mercan,,,,,,Deniz Yılmaz Celal Çimen Gökçe Baltacı Ayşe Ertunk Ümit Ufuk Tosun,,,Avşar Film,,,2,,19 Ocak 2006 - 7 Şubat 2007,Türkçe,Aycan Giritlioğlu,Şükrü Avşar,,,,,Tomris Giritlioğlu,,,36,,,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Gül Dirican Neşe Cehiz Filiz Terzi Ayhan Sonyürek Baykut Badem Filiz Ekinci,,,Mehmet Ali Nuroğlu Özge Özberk Cansel Elçin Begüm Birgören Şemsi İnkaya Saygın Soysal Türkü Hazer Sermiyan Midyat Tolga Tecer Tanju Gürsu Cengiz Sezici Beyazıt Gülercan Şebnem Doğruer
İki Aile,Nursan Esenboğa (1-24) Metin Günay  (25-52) Yıldız Hülya Bilban  (53-93),,,,,,,,,D Productions,,,2,,19 Haziran 2006 - 16 Haziran 2008,Türkçe,,Serkan Kızıldağ Yıldız Hülya Bilban Ümit Özer,90 dakika,,Barkın Şenüren,,,,,93,4:3,,Komedi Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  (2006-2008),,,Saygın Delibaş Fethi Kantarcı,,,Emre Kınay İclal Aydın
Altın Kızlar,Levent Demirkale,,,,,,,,,Play Prodüksiyon,,,1,,12 Nisan 2009 - 10 Mayıs 2009,Türkçe,İlker Ezgün,Armağan Çağlayan,,,,,,,,5,,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Şebnem Çıtak Feride Çiçekoğlu,,,Nevra Serezli Cansu Dere Türkân Şoray Fatma Girik Tamer Karadağlı Sümer Tilmaç
Şahin Tepesi,Hilal Saral,,,,,,,Toygar Işıklı,İstanbul,Ay Yapım,,,1,,23 Kasım 2018 - 28 Aralık 2018,Türkçe,,Kerem Çatay Pelin Diştaş,140 dakika,,,,,,,6 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Ece Yörenç Melek Gençoğlu,,Tolga Çetin,Zerrin Tekindor Ebru Özkan Boran Kuzum Aybüke Pusat Murat Aygen Esra Dermancıoğlu Kaan Taşaner Leyla Tanlar
Yamak Ahmet,Hakan Arslan Günay Günaydın,Tuba German  Hakan Arslan,,,Esir Sultan  (2012),Kemal Uçar,,,İstanbul Karabük Manisa,Okur Film,,,2,,8 Ağustos 2011 - 17 Ağustos 2012,Türkçe,,Ahmet Okur,60 dakika,,,,,,,60,,,Tarihî,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  (2011-2012),,,Tanıl Arayancan Tufan Gündüz Aslı Alabaz Pehlivan  (1. sezon) Ramazan Demirli Eda Tezcan  (2. sezon),,,Ferit Aktuğ Kemal Uçar Başak Parlak Emrah Elçiboğa Emin Gürsoy Yusuf Atala Betül Şahin Birsen Dürülü Tarık Şerbetçioğlu Mafta Güney Mustafa Turan Yavuz Topoyan Alay Cihan Metin Yıldırım Yunus Emre Kılınç Burhan Yıldız Uğur Arslanoğlu Gaye Turgut
Kurt Kanunu,Yasin Uslu,,,,,,,İskender Paydaş,,Pana Film,,,1,,7 Şubat 2012 - 7 Haziran 2012,Türkçe,Kıvanç İlgüner,,75 dakika,,Kemal Tahir,,Bahadır Özdener,,,18,,,Tarihî Dram Macera,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Selma Çergel Ayşegül Hacıosmanoğlu Mediha Polat,,Levent İlbuğa,Ümit Acar Ali Başar Pelin Akil Bahar Kerimoğlu İlker Kızmaz
Gül ve Diken,Osman F. Seden,,,,,,,,İstanbul,Kemal Film,,Gül ve Diken Jenerik,1,,6 Aralık 1994 - 31 Ocak 1995,Türkçe,,Kemal Seden,45 dakika,Engin Esen,,,,,,9,576i  ( 4:3 ),,Romantik Duygusal,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV,,,Osman F. Seden,,Necati İlktaç,Aydan Şener Murat Parasayar Müge Arda Tomris Oğuzalp Ozan Bilen
Fırıldak Ailesi,Ömer Sinir,,,Gülen Karaman Bülent Kayabaş Keremcan Köse Tülay Bursa Tülay Köneçoğlu Oya Küçümen,,,,Cem Tuncer Nail Yurtsever,,Grafi2000,,,3,,11 Şubat 2013  ( 2013-02-11 )  -  28 Aralık 2016  ( 2016-12-28 ),Türkçe,,Varol Yaşaroğlu,10-15 dakika,,,Fırıldak Ailesi,,,,21 (Televizyon)   38 (İnternet) ( bölümleri listesi ),,,Komedi,Animasyon,,Türkiye,,Final,Star TV  (2013)   grafi2000  Youtube  kanalı (2013-2016)   tv2 (2014-2014)  TV8  (2015-2016),,,Haluk Can Dizdaroğlu,,Ruşen Kızılarslan,
Kızıl Elma,Mustafa Şevki Doğan,,,,,,,Aria Cengiz Onural Bora Ebeoğlu Ceyra Pirali Cenk Erdoğan Uğur Darıveren,İstanbul,Sinegraf,,,2,Yusuf Atamer Kemal Arslan,15 Ocak 2014 - 23 Ekim 2014,Türkçe,,Osman Sınav,100 dakika,,,,,,,28,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Kurgu,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1  ( HD ),,,Süleyman Çobanoğlu,,Yusuf Akkuş,Furkan Palalı Pelin Akil Aslıhan Güner Burak Sergen Zeynep Eronat Erdal Cindoruk
Şevkat Yerimdar,Bülent İşbilen Selin Kılıçaslan,,,,Şevkat Yerimdar  (2013) Şevkat Yerimdar 2  (2015),,Umut Keten,Barış Aryay Mehmet Andiçen,"Darıca ,  Kocaeli İstanbul",Limon Film,,"Şevkat Yerimdar "" Jenerik Müziği""",1,,26 Mayıs 2017 - 30 Mart 2018,Türkçe,,Hayri Aslan,130 dakika,,,,,Murat Özsoy,,44,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,FOX,,,Erol Hızarcı Meltem Çitci,,İlkay Işık,Özgürcan Çevik Başak Parlak
Boşgezen ve Kalfası,Ferhan Şensoy,,,,,,,,"Eyüp ,  İstanbul",Ortaoyuncular,,,1,,1 Mart 1995  ( 1995-03-01 )  -  30 Haziran 1995  ( 1995-06-30 ),Türkçe,,Ortaoyuncular,,,,,,,,8,4:3,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Flash TV  (1995),,,Ferhan Şensoy,,,Ferhan Şensoy Suna Pekuysal Derya Baykal Rasim Öztekin Tarık Pabuçcuoğlu Levent Ünsal Settar Tanrıöğen Şükran Dedeman Pınar Alsan
Yeditepe İstanbul,Türkân Derya Güven Aydın Bulut [1],,,,,,,,"Balat ,  İstanbul",,,,2,,18 Mayıs 2001  ( 2001-05-18 ) [2]  -  24 Haziran 2002  ( 2002-06-24 ) [3],Türkçe,,,,,,,,,,47,PAL,,Dram Aile Duygusal,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Ali Ulvi Hünkar,,,
Huzur Sokağı,Şenol Sönmez,,,,,,,,İstanbul,Set Film  (2012-2013)  atv İç Yapımlar  (2013-2014),,,2,,7 Eylül 2012 - 18 Nisan 2014,Türkçe,,,90 dakika,,,,,,,67 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv  ( HD ),,,,,,Selin Demiratar Ahmet Kutsi Karadoğan Güven Hokna Sinem Öztürk Gökhan Mete Yeşim Salkım
Bir Aşk Hikayesi,Barış Yöş  (1-22) Murat Onbul  (23-36),,,,"I'm Sorry, I Love You",,,Firat Yukselir,İstanbul,MF Yapım,Özer Erten,,1,,26 Mart 2013 - 14 Ocak 2014,Türkçe,,Faruk Bayhan Fatih Aksoy,110 dakika,,,,,,,36,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX  ( HD ),,,Makbule Kosif Funda Çetin Pınar Uysal Zehra Güleray,,Ali Arslan,Seçkin Özdemir Damla Sönmez
Klavye Delikanlıları,Yahya Samancı,,,,,,,,"İstanbul , İstanbul - Üsküdar, İstanbul - Üsküdar - Selimiye Mahallesi",Süreç Film,,,1,,3 Ekim 2017 - 26 Kasım 2017,Türkçe,,İnci Gündoğdu İsmail Gündoğdu,120 dakika,,Koliba Film Atay Sözer,,,,,8 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Murat Şeker Ali Tanrıverdi,,Cem Geneşke,Rasim Öztekin Kaan Yıldırım Uraz Kaygılaroğlu Vildan Atasever Ali Barkın Sinan Çalışkanoğlu Filiz Taçbaş Cengiz Küçükayvaz İpek Tenolcay Gül Onat Onur Dilber
Hayat Bilgisi,Tarkan Karlıdağ,,,,,,,,"Kuzguncuk İlkokulu,  İstanbul",Süreç Film,,,4,,13 Şubat 2003 - 16 Haziran 2006,Türkçe,,Ali Gündoğdu,60 dakika,Temel Zümrüt,Gani Müjde,,,,,137 ( bölümleri listesi ),576i  ( SDTV ),,Gençlik Komedi Aile,Televizyon dizisi,Gani Müjde,Türkiye,Stereo,Sona erdi,Kanal D  (2003) Show TV  (2003-2006),,,Gani Müjde Deniz Akçay Fatih Solmaz Gökhan Karagülle Nilüfer Yenidoğan Emre Bülbül,,Metin Erdoğdu,Perran Kutman Tarık Pabuççuoğlu Kerem Kupacı
Tozkoparan,Şevki Es,Elif Hamamcı,,,Uzaktan Erişim,,,Özgür Zoral,İstanbul,Veya Yapım  (1-10) Fotoroman Film Yapım  (11-55),,,3,,11 Kasım 2018 - 19 Nisan 2020,Türkçe,,Can Özcanlı,60 dakika (1. ve 3. sezon) 120 dakika (2. sezon),Özgür Zoral,,Tozkoparan İskender  (2021-2022),,,,55,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Tarihî Macera Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,Mustafa Burak Doğu Selin Arapkirli,,Yusuf Akkuş Tarık Erkan,Özgür Ege Nalcı Yusuf Gökhan Atalay Burak Kut Burcu Altın Tuana Naz Tiryaki Leya Kırşan Yağız Kılınç Deniz Erayvaz Alara Kardak
Mahallenin Muhtarları,Oğuz Yalçın Filiz Kaynak Avni Kütükoğlu Nursan Esenboğa,,,,,,,,"Maltepe ,  İstanbul",Replik Yapım,,,10,,5 Ekim 1992  ( 1992-10-05 )  -  18 Haziran 2002  ( 2002-06-18 ),Türkçe,,Hüseyin Apaydın,,,,,,,,337,,,Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal 6  (1992-1994) atv  (1994-2000) Kanal D  (2001-2002) Star TV  (2002),,,Kandemir Konduk,,,Aydan Burhan Erkan Can Cihat Tamer Işık Aras Goncagül Sunar Esra Akkaya Nedret Özbek Leman Çıdamlı Filiz Taçbaş
Nöbet,Necati Şaşmaz (Genel Yönetmen) Ömer Gökhan Erkut,,,,,,,Gökhan Kırdar,"Elmalı ,  Antalya",Pana Film,,,1,,3 Mart 2019 - 5 Mayıs 2019,Türkçe,,Necati Şaşmaz,130 dakika,,Necati Şaşmaz,,,Necati Şaşmaz,,8,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aksiyon Askerî Savaş,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Necati Şaşmaz Ali Alper Erze Murat Koca,,Kayhan Yılmaz,Yurdaer Okur Saygın Soysal Deniz Bolışık İpek Karapınar Kürşat Alnıaçık İbrahim Kendirci
Tatil Aşkları,,,,,,,,,,,,,1,,2004 - 2004,Türkçe,,,,,,,,,,13,,,Komedi,Televizyon dizisi,,Türkiye,,Sona erdi,Star TV,,,,,,Seray Sever Nilgün Belgün Ercan Yazgan
Kuzey Rüzgârı,Mustafa Şevki Doğan,,,,,,,Aydoğan Ataş Soner Akalın,İstanbul,Duka Film,,,1,,3 Eylül 2007 - 30 Ocak 2008,Türkçe,,İbrahim Mertoğlu,,,,,Mustafa Şevki Doğan,,,20,4:3,,Aşk Mafya,Televizyon Dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Baykut Badem Filiz Ekinci Arzu Birol,,Zekeriya Kurtuluş,Kadir İnanır Oktay Kaynarca Ebru Kocaağa Çağla Kubat Selçuk Yöntem [1]
Türk Malı,Jale Atabey,,,,,,,,İstanbul,Süreç Film,,,2,,28 Mayıs 2017 - 27 Eylül 2017,Türkçe,,Ali Gündoğdu,125-155 dakika,,,,,,,8,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  ( HD ) (2017),"Türk Malı (dizi, 2010)  (2010-2011)",,Tayfun Güneyer,,,Şafak Sezer Mehmet Ali Erbil Hasibe Eren Nergis Kumbasar
İnadına Yaşamak,Serdar Akar,,,,,,,,"İstanbul Kapadokya ,  Nevşehir Kıbrıs",Süreç Film,,,1,,28 Kasım 2013  ( 2013-11-28 )  -  9 Ocak 2014  ( 2014-01-09 ),Türkçe,,Ali Gündoğdu İnci Gündoğdu,110-115 dakika,,,,,,,6,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Romantik,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Serdar Oğuz Gökhan Zincir,,Selahattin Sancaklı,Sanem Çelik Oktay Kaynarca Murat Ünalmış
Küçük Ağa,Aysun Akyüz Erol Özlevi,Türker İnanoğlu,,,,,,,İstanbul Şanlıurfa Muğla,Erler Film,,,2,,28 Ocak 2014  ( 2014-01-28 )  -  17 Mart 2015  ( 2015-03-17 ),Türkçe,,Türker İnanoğlu,100 dakika,Aria,,,,,,50 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Ahmet Yurdakul Sinan Yurdakul Ozan Yurdakul,,Barış Işık,Birce Akalay Emir Berke Zincidi Sarp Levendoğlu Zeki Alasya
Saygılar Bizden,Zeki Ökten,,,,,,,,İstanbul,Bugay Yapım,Fuat Örer Münir Emre Serdar Karakaya Hakan Aksun,,1,,19 Eylül 1992 - 12 Aralık 1992,Türkçe,,,27-30 dakika,Arif Erkin Güzelbeyoğlu,,,,,,13,480i  ( SDTV ),,Dram Komedi Politika,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,InterSTAR,,,Umur Bugay,,,Kemal Sunal Jülide Kural Selma Tarcan Yaman Tarcan Nur Gürkan Alev Oraloğlu Tuncer Necmioğlu Zafer Algöz Yaman Okay Güler Ökten Ozan Bilen Orhan Çağman Kutay Köktürk Erdinç Dinçer
Koca Koca Yalanlar,Osman Taşcı Burcu Alptekin,,,,,,,Güldiyar Tanrıdağlı,"Sarıyer ,  İstanbul",Limon Film,,,1,,13 Ağustos 2018 - 30 Ekim 2018,Türkçe,,Hayri Aslan,120 dakika,Jingle TV,,,,,,12,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Gül Abus Semerci,,Erhan Ergün Şafak Ildız,Hakan Yılmaz Evrim Alasya Selen Uçer Pelin Öztekin
Hayat Şarkısı,Cem Karcı,,,Burcu Biricik,,,,Mithat Can Özer Uğur Akyürek Ufuk Türk (1. sezon) Cem Tuncer Efecan Tuncer Mithat Can Özer Uğur Akyürek Ufuk Türk Çağlar Haznedaroğlu (2. sezon),İstanbul,Most Production,,,2,,9 Şubat 2016 - 6 Haziran 2017,Türkçe,,Gül Oğuz,120 dakika,Mithat Can Özer,,,,,,57 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Romantik Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,Flames of Desire,Mahinur Ergun,,Aras Demiray,Burcu Biricik Birkan Sokullu Ahmet Mümtaz Taylan
Eşkıya Dünyaya Hükümdar Olmaz,Onur Tan  (1-199)  Zübeyr Şaşmaz  (140-199)  Baran Özçaylan  (140-199),,,,Aman Reis Duymasın  (2019),,,Ayşe Önder Levent Güneş,İstanbul,,,Eşkıya Dünyaya Hükümdar Olmaz jenerik müziği,6,,8 Eylül 2015 - 15 Haziran 2021,Türkçe,,Raci Şaşmaz  (1-123)  atv İç Yapımlar  (124-199),120 dakika,Levent Güneş,,,,,,199 ( bölümleri listesi ),16:9 1080p,,Aksiyon Suç Dram,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,atv  (2015-2021),,,Raci Şaşmaz  (1-123)  Bahadır Özdener  (1-199)  Berna Aruz  (124-199),Eşkıya Dünyaya Hükümdar Olmaz dizi müziği,Veysel Kılınç,1. sezon Oktay Kaynarca Deniz Çakır Müjde Uzman Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 2. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 3. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Mesut Akusta Olgun Şimşek Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 4. sezon Oktay Kaynarca Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 5. sezon Oktay Kaynarca Naz Elmas Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Burak Sergen 6. sezon Oktay Kaynarca Sanem Çelik Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Ali Sürmeli
Bambaşka Biri,Neslihan Yeşilyurt (1-10) Özlem Günhan  (11-) Gül Sarıaltın (11-),,,,,,,Atakan Ilgazdağ,İstanbul,TIMS&B Productions,,,1,,11 Eylül 2023 - 13 Ocak 2024,Türkçe,,Timur Savcı Burak Sağyaşar,130 dakika,,Onur Şener Lokman Maral Seçil Çömlekçi,,,,,14,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Polisiye Romantik gerilim,Televizyon dizisi,,Türkiye,Stereo,Devam ediyor,FOX,,,Ethem Özışık,,,Burak Deniz Hande Erçel
Kurşun,Murat Can Oğuz Burak Arlıel,,,,,,,Alpay Göltekin Zeynep Alasya Güldiyar Tanrıdağlı Caner Özkan,İstanbul,Most Production,,"""Sen Neredesin?""",1,,23 Ekim 2019 - 4 Aralık 2019,Türkçe,Hamdi Deniz Cengiz Karadağ,Gül Oğuz,120 dakika,Timur Selçuk,Ayberk Çınar Begüm Baran,,Gül Oğuz,,,7,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,,Kerem Deren,,Necmettin Akdeniz,Engin Altan Düzyatan Burçin Terzioğlu Berrak Tüzünataç Sarp Akkaya Engin Şenkan Kürşat Alnıaçık Seda Akman
Evlerden Biri,Bahadır İnce,,,,,,,Fahir Atakoğlu,"Üsküdar ,  İstanbul",Koliba Film,,,1,,1 Ağustos 2012 - 29 Ekim 2012,Türkçe,,Ata Türkoğlu,90 dakika,,,,,,,13 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  ( HD ),,,Hakan Haksun Müjdan Kayserli,,,Ceyda Ateş Özgür Çevik Barış Aytaç Şemsi İnkaya
Kertenkele,"Kartal Çidamlı  (1-7, 72-76) Metin Balekoğlu (8-22) Murat Onbul  (23-34) Cem Tabak  (35-41) Hakan Arslan  (42-71) Canan Çelik  (74-85) Gülbin Aydın  (76-85)",Erdoğan Sevinç,,,Bahtiyar Ölmez  (2017-2018),,,Mustafa Ceceli,İstanbul,Yapım Atölyesi,,Kertenkele jenerik müziği,3,,25 Ekim 2014 - 24 Aralık 2016,Türkçe,,Yalçın Şen,120 dakika,,,,Hasan Burak,,Yapım Atölyesi,85 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080p  ( HDTV ),,Komedi Aşk Aksiyon Polisiye Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv  ( HD )  a2  (Tekrar),,Marmoulak  - Kemal Tebrizi,Hakan Kandal Kemal Çelik,Kertenkele dizi müziği,Gökhan Bölükbaş Turgay Özdemir,Ahmet Kayakesen Asena Tuğal Fatih Doğan Dilşad Şimşek Turabi Çamkıran Eski başroller Timur Acar Sera Tokdemir Erdinç Gülener Sinan Çalışkanoğlu Umut Oğuz Bihter Dinçel Eda Özerkan Şemsi İnkaya Yıldırım Memişoğlu
Baş Belası,Murat Onbul,,,,,,,Ayşe Önder Ümit Önder Mayki Murat Başaran,İstanbul,ARC Film,,,1,,20 Haziran 2021 - 10 Eylül 2021,Türkçe,,Fatih Enes Ömeroğlu,150 dakika,,,,,,,13,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Romantik komedi Polisiye,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Gülsev Karagöz Zafer Özer Çetinel Ahmet Orçun Okşar Ramazan Demirli,,Burak Demirdelen,İrem Helvacıoğlu Seçkin Özdemir
Şaşkın Bakkal 216,Bedran Güzel,,,,,,,,İstanbul,Acun Medya,,,1,,25 Ocak 2020 - 8 Şubat 2020,Türkçe,,Acun Ilıcalı,120 dakika,,,,,,,3 ( bölümleri listesi ),,,Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TV8  ( HDTV ),,,Önder Açıkbaş,,Mustafa Nuri Eser,Önder Açıkbaş Zihni Göktay Zuhal Yalçın Levent Akkök Ceylan Yılmaz İsa Telci Ayça Bildik Mustafa Çelik Buse Narcı Gülten Çelik Yaşar Mahmutoğlu
Gülperi,Metin Balekoğlu,,,,,,,Atakan Ilgazdağ,İstanbul Gaziantep,Tims&B Productions,,,1,,14 Eylül 2018 - 3 Mayıs 2019,Türkçe,,Timur Savcı Burak Sağyaşar,120 dakika,Cem Öget,,,,,,30,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Sema Ergenekon Eylem Canpolat,,,Nurgül Yeşilçay Timuçin Esen Tarık Pabuçcuoğlu Ece Sükan Burak Dakak Aleyna Özgeçen Emir Özyakışır Onur Bilge
Reis,Sadullah Celen,,,,,,,Cem Yıldız,İstanbul,Most Production,,Reis Jenerik müziği,1,,1 Ağustos 2011 - 10 Ekim 2011,Türkçe,,Gül Oğuz,120 dakika,Arzu Alsan Burak Erkul,,,,,,9 ( bölümleri listesi ),4:3,,Dram Aşk Romantik Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Cüneyt Bolak Murat Koca,,Çetin Çavan,Mehmet Âkif Alakurt Melisa Sözen Şükran Ovalı
Bu Kalp Seni Unutur mu?,Aydın Bulut,,,,,Melis Birkan,,,,Sis Yapım,,""" Bu Kalp Seni Unutur Mu """,1,,13 Ekim 2009 - 9 Şubat 2010,Türkçe,,Tomris Giritlioğlu,,,,,,,,17,4:3,,Politik Dram,Televizyon dizisi,Nilgün Öneş,Türkiye,Stereo,Yayından kaldırıldı,Show TV,Hatırla Sevgili  (2006-2008),,,,,Bülent İnal Melis Birkan Berrak Tüzünataç Okan Yalabık Saygın Soysal Tuba Ünsal Tansel Öngel Bülent Alkış Engin Hepileri Tuğçe Kumral Hale Soygazi Salih Güney Fatih Dönmez
Kurşun Yarası,,,,,,,,,"Ayvalık ,  Balıkesir",Avşar Film,,,2,,15 Eylül 2003  ( 2003-09-15 ) [1]  -  7 Şubat 2005  ( 2005-02-07 ) [2] [3] [4] [5],Türkçe,,Şükrü Avşar Bahadır Atay,,,,,,,,60,,,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,,,,Berdan Mardini Gerçek Sağlar Bülent İnal A. Yavuz Sepetçi Ayçin İnci Avni Yalçın Ahmet Mümtaz Taylan Nur Sürer Emrah Elçiboğa Mehmet Akan Mesut Akusta Ali Kırca Fikret Hakan
Gerçek Kesit,Erbay Gül,,Nedret Selçuker Perihan Savaş,,Gerçek Kesit: Manyak  (2018),,,,İstanbul Bursa,,,,13,,1 Temmuz 1993  ( 1993-07-01 ) [1]  - 2006,Türkçe,,Cahit Kaşıkçılar Flash TV,60 dakika,,,,,,,453,4:3  ( SDTV ),,Gerilim Aksiyon Dram Absürt komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Flash TV  (1993-2006),,,,,,Cahit Kaşıkçılar Cevat Dinçer Mehmet Vanlıoğlu
Maria ile Mustafa,Faruk Teber,,,,,,,,"Ürgüp ,  Nevşehir",NTC Medya,,,1,,6 Eylül 2020 - 27 Aralık 2020,Türkçe,,Mehmet Yiğit Alp,130 dakika,,,,,,,17,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Romantik Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv  ( HD ),,,Birol Elginöz,,,Jessica May Hilmi Cem İntepe Tamer Levent
Oğlum,Gökçen Usta,,,,,Canan Ergüder,,Alp Yenier  (1-6) Hasan Özsüt  (7-15) Işıl Özsüt  (7-15),İstanbul,Ay Yapım,,,1,,9 Şubat 2022 - 25 Mayıs 2022,Türkçe,,Kerem Çatay,120 dakika,,,,Ahmet Katıksız,,,15,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Psikoloji Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV,,,Hürer Ebeoğlu Sevgi Yılmaz,,,Songül Öden Canan Ergüder Feyyaz Duman Timur Acar Serhat Teoman Nihal Yalçın Kubilay Aka Tuğçe Açıkgöz
