Title,Yönetmen,Yönetici  yapımcı,Sunucu,Seslendiren(ler),İlişkili programlar,Anlatıcı,Yaratıcı  yönetmen(ler),Besteci,Mekân,Yapım  şirketi,Geliştiren,Açılış müziği,Sezon sayısı,Kamera,Yayın tarihi,Dili,Kurgucu,Yapımcı,Gösterim süresi,Tema müziği bestecisi,Öykü,Sonra gelen,Proje tasarımcısı,Öykü kurgusu,Dağıtımcı firma,Bölüm sayısı,Resim formatı,Platform,Tür,Format,Yazar,Ülke,Ses formatı,Durumu,Kanal,Önce gelen,Uyarlama,Senarist,Bitiş müziği,Görüntü yönetmeni,Başrol
Yürek Çıkmazı,Serdar Gözelekli (1-15) Bahadır İnce (16-28),,,,,,,Serkan Ölçer Ece Ölçer,İstanbul,Gold Film,,,1,,1 Kasım 2022 - 13 Haziran 2023,Türkçe,,Faruk Turgut,120 dakika,,,,,,,28,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,Atike Hınçlıer,Türkiye,Stereo,Sona erdi,TRT 1,,Yürek Çıkmazı,Ayla Hacıoğulları (1-28) Vilmer Özçınar (1-28) Toprak Karaoğlu (20-28),,,Ayça Bingöl Alp Navruz İrem Helvacıoğlu Mesut Akusta
Aşk ve Günah,Atilla Cengiz Irmak Çengel,,,,,,,Sertaç Özgümüş,İstanbul,D Productions,,,1,,31 Ağustos 2015 - 19 Şubat 2016,Türkçe,,,,,,,,,,120,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aşk Drama,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Suna Tensi Sema Tensi,,,İlknur Şaşmazer Türkan Kılıç Seren Deniz Yalçın Tekin Temel
Gece Gündüz,Metin Balekoğlu Sarp Levendoğlu,,,,,,,,,,,,1,,4 Temmuz 2008 - 22 Mart 2009,Türkçe,,Mehmet Altıoklar,80 dakika,,,,,,,29,,,Komedi Polisiye Suç Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,,,,Sarp Levendoğlu Settar Tanrıöğen
Ben Onu Çok Sevdim,Mehmet Bahadır Er Eylem Koza,,,,,,,,"İstanbul ,  Türkiye",Pana Film,,"""Ben Onu Çok Sevdim Jenerik""",1,,10 Eylül 2013  ( 2013-09-10 )  -  24 Ocak 2014  ( 2014-01-24 ),Türkçe,,Raci Şaşmaz,90 dakika,,,,,,,15,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Politik,Televizyon dizisi,Seda Altaylı Ozan Aksungur,Türkiye,Stereo,Sona erdi,atv,,,,"""Nazende Sevgilim""",,Mehmet Aslantuğ İdil Fırat Birce Akalay Şemsi İnkaya Rıza Akın Erdinç Gülener Mehmetcan Mincinozlu Savaş Zafer Ege Aydan Kerem Alışık Devrim Yakut
Ver Elini Aşk,Bora Onur Deniz Yılmaz Hakan Eren,,,,,,,,İstanbul Gaziantep,Salacak Yapım,,,1,,7 Eylül 2017 - 3 Aralık 2017,Türkçe,,Ayça Aral Sarangil,140 dakika,,,,,,,11,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Romantik komedi Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D,,,Ayşe Ferda Eryılmaz Nehir Erdem,,,Ali İl Sevda Erginci
Tek Türkiye,Naci Çelik Berksoy Gürsel Ateş,,,,,,,,Konya,,,,4,,18 Ekim 2007 - 30 Haziran 2011,Türkçe,,Salih Asan,90 dakika,,,,Salih Asan,,,149 ( bölümleri listesi ),,,Dram Aksiyon,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Samanyolu TV,,,Ali Kara Samim Utku,,,
Aziz Ahmet,,,,,,,,,,Med Yapım,,,1,,22 Nisan 1994 - 1994,Türkçe,,,,,,,,,,,576i  ( 16:9 SDTV ),,,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,,,,Uğur Yücel Ayşegül Aldinç
Geniş Aile,Ömer Uğur,,,,,,,,"Boyacıköy ,   İstanbul",D Productions,,Komşu Kızı,3,,8 Temmuz 2009 - 18 Kasım 2011,Türkçe,,Ahmet Kayumtu  (uygulayıcı)  Lale Eren,90 dakika,Gripin,,,,,Kanal D Home Video,108 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Komedi Aile,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Kanal D  (2009-2010)  Star TV  (2010-2011),,,Cüneyt İnay Kamuran Süner,Komşu Kızı,Serdar Armutlu,Ufuk Özkan Zuhal Topal Rojda Demirer Rasim Öztekin Fırat Tanış Mine Teber İlker Ayrık
Serçe Sarayı,Mesude Erarslan Tekin  (1-5) Ömür Atay  (6-13),,,,,,,Ali Erkin Çakmak Murat Tükenmez,İstanbul,Endemol Shine Turkey Bazıfilmler,,,1,Necmettin Akdeniz,5 Mart 2015  ( 2015-03-05 )  -  14 Haziran 2015  ( 2015-06-14 ),Türkçe,,Kemal Kurçer Gökhan Tatarer Soysal Demir Hakan Eren,120 dakika,,,,,,,13 ( bölümleri listesi ),480i  ( SDTV ) 720p  ( HDTV ),,Drama Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Star TV  ( HD ),,,Mustafa Mutlu Arzu Daştan Mutlu Nuriye Bilici Rodi Güven Yalçınkaya Şebnem Çıtlak,,Ahmet Kasapoğlu Ümit Çakmaksoy,Songül Öden Mert Fırat Alican Yücesoy Esra Dermancıoğlu Selen Öztürk Serkan Ercan Erkan Bektaş Turgay Kantürk
Veda,Merve Girgin,,,,,,,Zülfü Livaneli,İstanbul,Medyapım,,,1,,27 Eylül 2012 - 23 Kasım 2012,Türkçe,,Fatih Aksoy,90 dakika,,,,,,,8,480i  ( SDTV ) 1080i  ( HDTV ),,Drama Aşk Tarihî,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Kanal D  ( HD ),,,Sündüz Haşar,,Barış Milan,Mehmet Aslantuğ Fahriye Evcen Maral Üner Jale Arıkan Sevda Erginci Ahmet Tansu Taşanlar
Alemin Kıralı,Derya Yaruç Bülent İşbilen,İnci Kırhan Asena Bülbüloğlu Ali Gündoğdu,,,,,Gizem Erbirer,Günay Uysal,İstanbul,Süreç Film,,Alemin Kıralı jenerik,2,Kemal Aslan Ömer Kılınç,16 Eylül 2011 - 27 Mart 2013,Türkçe,Ali Rıza Başaran,Ali Gündoğdu,90 dakika,Kadıköy Acil,,,,,,67,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Durum komedisi Absürt komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,,Kemal Kenan Ergen Kamuran Süner,Alemin Kıralı jenerik,Tevfik Şenol,Oya Başar Şafak Sezer Evrim Akın Metin Yıldız Zeynep Gülmez Ececan Gümeci  Hamdi Kahraman Elvin Levinler Birsu Demir Yağmur Ün
