Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Bu Şehir Arkandan Gelecek,Ay Yapım,1,4 Ocak 2017 - 14 Haziran 2017,Dram Aşk Aksiyon,atv,Kerem Bürsin Leyla Lydia Tuğutlu Gürkan Uygun
Bizim Mahalle,TRT,8,12 Şubat 1994 - 2 Nisan 2001,Aile Komedi Macera,TRT 1  (1994-2001),Neslihan Acar Osman Yağmurdereli Üstün Asutay Neriman Köksal Nilgün Belgün Meltem Ören İlhan Daner
Acı Aşk,TMC Film,1,20 Aralık 2015 - 13 Mart 2016,Aşk Dram,Show TV,Seçkin Özdemir Selin Şekerci Sezgi Sena Akay Alperen Duymaz Hüseyin Avni Danyal Neriman Uğur Erkan Can
Seni Çok Özledim,,1,7 Nisan 2005 - 19 Mayıs 2005,Dram,Kanal D  (2005),Zuhal Olcay Tuba Ünsal Kaan Urgancıoğlu Ege Aydan Emre Kınay Mahir Günşiray Ali Düşenkalkar Erdal Beşikçioğlu Rıza Kocaoğlu Sezgi Mengi Bilge Şen Avni Yalçın Kürşat Alnıaçık Saydam Yeniay
Heredot Cevdet Saati,Staff Film,2,6 Nisan 2015 - 29 Ocak 2016,Komedi Drama,TRT 1  ( HD ),Hasan Kaçan Fatih Kaçan
Şampiyon,BSK Yapım,1,12 Eylül 2019 - 13 Ağustos 2020,Dram Aksiyon Spor,TRT 1,Tolgahan Sayışman Yıldız Çağrı Atiksoy Erdal Özyağcılar Erkan Avcı
Çalıkuşu,Tims Productions,1,24 Eylül 2013 - 17 Mayıs 2014,Drama,Kanal D  ( HD ),Fahriye Evcen Burak Özçivit
Kader Çizgisi,Ser Film,1,10 Mart 2010 - 16 Haziran 2010,Dram,Samanyolu TV,
Elveda Derken,Yağmur Ajans,2,21 Mart 2007 - 17 Haziran 2008,Dram,Kanal D,Ece Uslu Gökhan Tepe Burcu Kara İncilay Şahin Sinan Sümer Tansel Öngel Aydan Kaya Fatma Karanfil Sait Genay Seda Güven
Umutsuz Ev Kadınları,Medyapım Abc Studios,"3 ( 1 ,  2 ,  3 )",2 Ekim 2011 - 19 Haziran 2014,Komedi-drama Suç Pembe dizi,Kanal D  (2 Ekim 2011-21 Şubat 2013)  FOX  (16 Mart 2013-19 Haziran 2014),Songül Öden Bennu Yıldırımlar Ceyda Düvenci Özge Özder Evrim Solmaz Deniz Uğur
Bir Mucize Olsun,Pastel Film,1,6 Nisan 2018 - 20 Nisan 2018,Dram Aşk,FOX,Furkan Palalı Su Kutlu
Yalnız Kurt,Sinegraf,2,28 Ocak 2022 - 30 Aralık 2022,Aksiyon Dram,atv,Hasan Denizyaran Cihan Ünal Damla Colbay Jessica May Murat Han
Barbaros,Mavi Dünya Animasyon Stüdyosu,2,2013 - 2015,Tarihi Aksiyon Macera,TRT Çocuk,
Mendirman Celaleddin   Bozkır Arslanı Celaleddin,Bozdağ Film,1,14 Şubat 2021 ( Özbekistan ) 21 Mayıs 2021 - 2 Temmuz 2021 ( Türkiye ),Tarihî Kurgu Aksiyon Dram,Milliy TV  (Özbekistan) (2021) atv  (2021),Emre Kıvılcım Kaan Yalçın Javohir Zokirov Gülenay Kalkan Cemal Hünal Yulduz Radjabova Rano Şodiyeva Rayhan Ulesanova Tohir Saidov Saide Rametova Sezgin Erdemir Ferhat Yılmaz
Kağıt Ev,O3 Medya,1,19 Nisan 2021 - 7 Haziran 2021,Dram,Star TV,Erdal Beşikçioğlu Nur Fettahoğlu
Yüz Yıllık Mucize,OGM Pictures,1,23 Mart 2023 - 15 Haziran 2023,Dram Fantastik,Star TV,Birkan Sokullu Ebru Şahin
Zeliha'nın Gözleri,,1,30 Temmuz 2007 - 24 Eylül 2007,,Star TV,Sarp Levendoğlu Emel Çölgeçen
Bir Filiz Vardı,TRT,1,2001 - 2001,Duygusal Aile Komedi,TRT 1,Özgü Namal Müge Oruçkaptan Nihan Durukan Menderes Samancılar Nükhet Egeli Savaş Akova Özlem Saraç Alper Yakıcı
Asla Vazgeçmem,Gold Film,3,12 Şubat 2015 - 6 Ekim 2016,Aşk Drama,Show TV  ( HD ),Tolgahan Sayışman Amine Gülşe Şafak Pekdemir Ümit Yesin Ayşegül Günay Hülya Gülşen Irmak Tugay Mercan Taner Rumeli
Eşref Saati,,2,22 Aralık 1993  ( 1993-12-22 )  -  30 Ağustos 1994  ( 1994-08-30 ),Komedi,Kanal D,Tuluğ Çizgen Cihat Tamer Suna Yıldızoğlu Suat Sungur Arzu Atalay Hadi Çaman
