Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Evlilik Hakkında Her Şey,MF Yapım,1,21 Eylül 2021 - 31 Mayıs 2022,Dram Komedi-drama Hukuk,FOX,Gökçe Bahadır Sarp Akkaya Yiğit Kirazcı Sumru Yavrucuk Gökçe Eyüboğlu Barış Kılıç Serkan Altunorak Erdal Küçükkömürcü Tülin Ece
Vermem Seni Ellere,AKN Film,1,18 Haziran 2023 - 13 Ağustos 2023,Romantik komedi,atv,Emre Bey Buse Meral
Rüzgarın Kalbi,Filmevi Yapım,1,20 Ağustos 2016 - 24 Ekim 2016,Aşk Dram,FOX,Burak Serdar Şanal Deniz Baysal
Börü,CaglarArts Insignia,1,28 Şubat 2018 - 11 Nisan 2018,Polisiye Dram Aksiyon Savaş,Star TV,Serkan Çayoğlu Mesut Akusta Ahu Türkpençe Murat Arkın Emir Benderlioğlu Melis Hacic Fırat Doğruloğlu Ahmet Pınar Can Nergis Armağan Oğuz Bedii Akın Ozan Ağaç Gürol Tonbul
Kördüğüm,Endemol Shine Turkey,2,7 Ocak 2016 - 20 Ekim 2016,Dram Aşk,FOX,İbrahim Çelikkol Alican Yücesoy Saadet Işıl Aksoy Belçim Bilgin
Toprak ile Fidan,OGM Pictures Stellar Yapım,1,31 Ekim 2022 - 21 Nisan 2023,Dram,Star TV,Hazal Adıyaman Osman Aydın
Familya,TMC Film,1,20 Eylül 2016 - 22 Kasım 2016,Komedi Aile,FOX,Uğur Yücel Erkan Kolçak Köstendil Bülent Emrah Parlak Murat Ceylan
Kanıt: Ateş Üstünde,ANS Productions,1,12 Temmuz 2016 - 30 Ağustos 2016,Polisiye,Kanal D,Tansel Öngel Başak Güröz Ahmet Olgun Sünear Gurur Aydoğan Okday Korunan Müge Mertson Ebru Aytemur Mustafa Açılan Hayati Akbaş
Yeni Evli,Tunga Film,1,Temmuz 2007 - Nisan 2008,,TRT 1  (2007-2008),
Kaçak Gelinler,NTC Medya,1,30 Haziran 2014 - 22 Ocak 2015,Komedi Romantik,"Star TV  (2014, 1-14.  bölüm) TV8  (2014-2015, 15-29. bölüm)",Selin Şekerci Açelya Topaloğlu Deniz Baysal
Aşkın Yolculuğu: Hacı Bayram-ı Veli,Tekden Film,1,11 Şubat 2022 - 28 Nisan 2022,Tarihî Kurgu Dinî,TRT 1,Burak Sevinç
Meryem,TMC Film,1,2 Ağustos 2017 - 28 Şubat 2018,Dram Aşk,Kanal D,Furkan Andıç Ayça Ayşin Turan Cemal Toktaş
Dengi Dengine,İstanbul Medya Akademisi,1,3 Haziran 2019 - 7 Haziran 2019,Komedi Aile,TRT 1,Su Kutlu Bora Akkaş Baran Can Eraslan Murat Kekilli Şinasi Yurtsever Altan Erkekli Benian Dönmez Jale Aylanç
Kraliçe,Mednova,1,22 Mart 2023 - 7 Haziran 2023,Dram,Kanal D,Burcu Özberk Gökhan Alkan Selin Şekerci Özgün Karaman
Kötü Yol,Gold Film,1,26 Temmuz 2012 - 6 Kasım 2012,Drama,Kanal D  ( HD ),Cansel Elçin Şükran Ovalı İlker Aksum
Adanalı,Kuzey Prodüksiyon,3,7 Kasım 2008  ( 2008-11-07 )  -  7 Kasım 2010  ( 2010-11-07 ),Aksiyon Dram Komedi Polisiye,atv,Oktay Kaynarca Mehmet Akif Alakurt Ekin Türkmen Cemal Hünal Selin Demiratar Serenay Sarıkaya Çağkan Çulha Eda Özerkan Umut Oğuz
Vazgeç Gönlüm,Gold Film,2,2007 - 18 Ekim 2008,Dram Aksiyon,Star TV,Murat Han İrem Altuğ Bulut Aras
Babam Çok Değişti,Süreç Film,1,3 Aralık 2020 - 28 Ocak 2021,Komedi,Kanal D,Çağlar Çorumlu Şebnem Bozoklu Melek Baykal Salih Kalyon Timur Acar
Yemin,Karamel Yapım,4,18 Şubat 2019 - 9 Ekim 2022,Pembe dizi,Kanal 7,Gökberk Demirci Setenay Süer Can Verel Yağmur Şahbazova Özge Yağız Cansu Tuman
Pertev Bey'in Üç Kızı,TRT,1,2006 - 2006,Komedi,TRT 1,Serdar Gökhan Deniz Evrenol Deniz Gökçer Başak Daşman Damla Sönmez Orhan Aydın Itır Esen
İffet,Gold Film,2,17 Eylül 2011 - 24 Eylül 2012,Drama,Star TV  ( HD ),Deniz Çakır İbrahim Çelikkol Mahir Günşiray
No: 309,Gold Film,2,1 Haziran 2016 - 25 Ekim 2017,Romantik komedi,FOX,Demet Özdemir Furkan Palalı
Bay Kamber,Doku Film,1,11 Ekim 1994 - 20 Aralık 1994,Komedi Macera Aile,Star TV,Kemal Sunal Ebru Şimşek Murat Aydın Bülent Bilgiç Necdet Yakın Emrah Demirci
Beni Böyle Sev,BSK Yapım,3,11 Şubat 2013 - 27 Şubat 2015,Aşk Gençlik Romantik komedi,TRT 1  ( HD ),Alper Saldıran Zeynep Çamcı Burcu Altın Bala Atabek Umut Kurt Eda Ece Ozan Osmanpaşaoğlu Mert Turak Burcu Biricik Yusuf Akgün Selen Uçer Fatih Koyunoğlu Meral Asiltürk Serkan Çayoğlu Altan Gördüm Lale Mansur Güven Kıraç Zafer Algöz
Gülbeyaz,eyeQ prodiction,1,13 Aralık 2002 - 27 Haziran 2003,Macera Drama,Kanal D,Şevval Sam Nejat İşler Meral Çetinkaya Kamran Usluer Bora Ayanoğlu Yeşim Ceren Bozoğlu
Zalim İstanbul,Avşar Film,2,1 Nisan 2019 - 22 Haziran 2020,Dram,Kanal D HD,Fikret Kuşkan Deniz Uğur Mine Tugay Mehmet Ozan Dolunay Sera Kutlubey Berker Güven Simay Barlas İdris Nebi Taşkan Bahar Şahin
Kanatsız Kuşlar,Koliba Film,1,15 Haziran 2017 - 24 Mayıs 2018,Dram,atv,Melis Tüzüngüç Ümit İbrahim Kantarcılar Ayten Gökçer Ahmet Varlı Deniz Bolışık Fatih Al Seda Türkmen Servet Pandur Evren Bingöl Gizem Güneş Emir Özden Eliz Neşe Çağın Sinem Karel Gürtekin Emre Melemez Yusuf Baymaz Kahraman Sivri
Hayati ve Diğerleri,1441 Productions,1,19 Kasım 2017 - 17 Temmuz 2018,Komedi Polisiye,Kanal D,Celil Nalçakan Günay Karacaoğlu Levent Ülgen Bülent Çolak Bahtiyar Engin İbrahim Selim Gökhan Kıraç Aybike Esin Tumluer Tolga Deniz Edip Tepeli
Çocuklar Ne Olacak,,1,15 Eylül 2004 - 6 Mayıs 2005,Aile Komedi,Star TV  (2004-2005),Ayşecan Tatari Furkan Kızılay Özgür Ozan Zeyno Günenç Ferdi Akarnur Ayşen Tekin
Mihriban,TRT Gold Film,1,2002 - 2003,Dram,TRT 1,Hülya Koçyiğit Sevinç Gürşen Akyıldız Lemi Filozof Erdal Özyağcılar Oktay Korunan Ebru Gediz Cevdet Arıcılar
Kocamın Ailesi,Mia Yapım,2,3 Temmuz 2014 - 11 Kasım 2015,Aile Romantik komedi Dram,FOX  ( HD ),Gökhan Alkan Yeliz Kuvancı Selen Seyven
Zehirli Çiçek,Erler Film,2,21 Mart 2000  ( 2000-03-21 ) [1]  -  26 Aralık 2000  ( 2000-12-26 ) [2],Dram Gerilim,Show TV,Tuğba Özay Çağla Şıkel Aysun Kayacı Özlem Savaş Burak Hakkı Kerem Alışık Faruk Peker Tarık Tarcan Karahan Çantay Levent Özdilek Petek Dinçöz Zuhal Topal Sibel Gökçe Güneş Berberoğlu Efgan Efekan Ahmet Uz Semra Dinçer Orçun Sonat
Yeni Hayat,OJO Pictures,1,3 Eylül 2020 - 29 Ekim 2020,Aksiyon Dram,Kanal D,Serkan Çayoğlu Melisa Aslı Pamuk Tayanç Ayaydın Nilperi Şahinkaya
Koçum Benim,Replik Ajans,2,7 Mart 2002 - 4 Nisan 2003,Komedi Aile,TRT 1  (2002-2003),Tarık Akan Ebru Cündübeyoğlu Engin Altan Sevil Üstekin Zihni Göktay Ozan Güven Yunus Günçe
Şaşıfelek Çıkmazı,,4,,,"TRT 1  (1996-1998), (2001)",Derya Alabora Zuhal Gencer Fikret Kuşkan Füsun Demirel Dilaver Uyanık Suzan Aksoy Mahperi Mertoğlu Aysun Metiner Hakan Tanfer
Bir Aşk Uğruna,Mine Film,1,24 Ekim 1994 - 25 Aralık 1994,Dram,atv,Türkân Şoray Can Gürzap Faruk Peker
Utanmaz Adam,,1,,Komedi,atv  (1998),Okan Bayülgen Zafer Algöz Bennu Yıldırımlar Settar Tanrıöğen
İstanbul’un Altınları,,1,5 Ağustos 2011 - 13 Aralık 2011,Komedi,atv,Haluk Bilginer Demet Akbağ Salih Kalyon
Canan,Koliba Film,2,9 Şubat 2011 - 19 Ekim 2011,Dram,FOX,Gamze Özçelik Özlem Conker Ragıp Savaş Erdinç Gülener Neriman Uğur Mehmet Atay
Melekler Korusun,Tims Productions,2,1 Ocak 2009 - 6 Ağustos 2010,Dram Gençlik,Show TV  (2009-2010),Özge Özpirinçci Selin Şekerci Rojda Demirer Hümeyra Avni Yalçın Serkan Altunorak Mahperi Mertoğlu Yıldız Kültür Alper Saldıran Ömer Köse Taner Barlas Cem Aktaş  Şebnem Gürsoy Şamil Kafkas Zeynep Köse Ceylan Dizdar Cansın Özyosun
Şubat Soğuğu,,2,21 Eylül 2004  ( 2004-09-21 ) [1]  -  30 Haziran 2006  ( 2006-06-30 ) [2] [3],Dram Polisiye,Samanyolu TV,Kenan Bal Suavi Eren
Ayşecik,,2,25 Temmuz 1997 - 22 Mart 2000,Drama,Show TV  (1997-2000),Ecem Kanun
Güvercin,Pastel Film,1,24 Kasım 2019 - 28 Ekim 2020,Dram,Star TV  (2019-2020),Mehmet Ali Nuroğlu Almila Ada Menderes Samancılar Nursel Köse
Arka Sıradakiler,MinT Prodüksiyon Best Prodüksiyon,6,30 Eylül 2007 - 10 Haziran 2012,Gençlik Dram,FOX  (2007-2011)  TNT  (2012),Bülent Emin Yarar Bülent Çetinaslan Sinem Öztürk Barış Atay Mengüllü Pelin Akil Fırat Çöloğlu
Avlu,Limon Film,2,29 Mart 2018 - 30 Mayıs 2019,Dram Suç,Star TV,Demet Evgar Ceren Moray Nursel Köse
İki Dünya Arasında,Ser Film,4,2 Temmuz 2012 - 13 Kasım 2015,Dram Aile,Samanyolu TV,İnanç Ömer Benlioğlu Başak Zebil Sevinç Kumaş Gökben Derviş
Hakim,Limon Film,1,4 Nisan 2022 - 13 Haziran 2022,Dram Suç Aksiyon,atv,Erdal Beşikçioğlu Ebru Özkan Uğur Yücel Yurdaer Okur
Acemi Cadı,,2,7 Temmuz 2006 - 21 Eylül 2007,Fantastik Komedi,Kanal D  (2006-2007) Star TV  (2007),Merve Boluğur Şenay Gürler Nergis Kumbasar Çağkan Çulha
Çarpışma,Ay Yapım,1,22 Kasım 2018 - 30 Mayıs 2019,Aksiyon Dram Polisiye,Show TV,Kıvanç Tatlıtuğ Elçin Sangu Onur Saylak Melisa Aslı Pamuk Alperen Duymaz
Aziz,O3 Medya,1,5 Kasım 2021 - 3 Haziran 2022,Aksiyon Dram Tarihî,Show TV,Murat Yıldırım Damla Sönmez Simay Barlas
Merhaba Hayat,Medyapım,1,9 Ekim 2012 - 13 Şubat 2013,Medikal Drama,FOX  ( HD ),Vahide Perçin Yetkin Dikinciler
Tutsak,1441 Prodüksiyon,1,19 Eylül 2017 - 14 Kasım 2017,Dram,Kanal D,Pamir Pekin Gülper Özdemir Caner Şahin
O Hayat Benim,Pastel Film,4,16 Şubat 2014 - 2 Mayıs 2017,Aşk Drama,FOX,Ezgi Asaroğlu Keremcem Ceren Moray
Muhteşem İkili,TMC Film,1,1 Kasım 2018 - 12 Şubat 2019,Aksiyon Dram Komedi Polisiye,Kanal D,İbrahim Çelikkol Kerem Bürsin Özge Gürel Öykü Karayel
Eski Hikaye,ARC Film,1,2 Ekim 2013 - 12 Şubat 2014,Dram,TRT 1,Buğra Gülsoy Funda Eryiğit Murat Daltaban Damla Debre Sermet Yeşil Ali Barkın Osman Alkaş Tayfun Eraslan Ferda Işıl Songül Sevdik Sinan Demirer Diren Polatoğulları Mehmet Esen Sedef Akalın
Yaz Şarkısı,Pastel Film,1,9 Temmuz 2023 - 27 Ağustos 2023,Romantik komedi,FOX,Nilsu Berfin Aktaş Mustafa Mert Koç Efekan Can
Yılanların Öcü,Koliba Film,2,27 Ağustos 2014 - 2 Aralık 2015,Dram,Show TV  ( HD ),Cemal Toktaş Hande Soral Ahmet Varlı Gözde Çığacı Nail Kırmızıgül Mehmet Atay Gonca Yakut Rüçhan Çalışkur Şebnem Dilligil Servet Pandur Hande Kaptan Nalan Örgüt Süleyman Karaahmet Burak Can Sibel Şişman Ceyda Kasabalı
Seni Kimler Aldı,Pastel Film,1,30 Nisan 2017 - 9 Temmuz 2017,Dram,atv,Merve Anlağan Yunus Günçe Fulya Zenginer Duygu Yetiş Serhan Yavaş Yiğit Kirazcı
Dila Hanım,Gold Film,2,14 Eylül 2012 - 25 Nisan 2014,Aşk Drama,Star TV  ( HD ) (2012-2013)  Show TV  ( HD ) (2013-2014),Erkan Petekkaya Hatice Şendil Mahir Günşiray Hülya Darcan Necip Memili Yonca Cevher Emre Melemez Görkem Mertsöz
Kül ve Ateş,Asis Film,1,14 Eylül 2009 - 9 Kasım 2009,,Star TV  (2009),Serhat Tutumluer Başak Köklükaya Hakan Balamir Şerif Sezer
Bir Annenin Günahı,Limon Film Skala Yapım,1,21 Kasım 2020 - 19 Aralık 2020,Dram,Kanal D,Özge Özberk Musa Uzunlar Emre Kınay Mert Yazıcıoğlu Simay Barlas Pamir Pekin
Dur Yolcu,TRT,1,2008 - 2008,Dram Savaş Tarihî,TRT 1,Hazım Körmükçü Selin Demiratar Cem Kılıç Ebru Kocaağa Murat Soydan Ahmet Yenilmez Umut Özkan Emre Tetikel
Sana Söz,O3 Medya,1,2 Kasım 2021 - 14 Aralık 2021,Dram Polisiye,Star TV,Erkan Petekkaya Nehir Erdoğan Serkan Altunorak Ayçin İnci Emin Olcay
Deli Yürek,Sinegraf,4,5 Ekim 1998 - 24 Haziran 2002,Aksiyon Dram Politik,Show TV  (1998-2001) atv  (2002),Kenan İmirzalıoğlu Zeynep Tokuş Melda Bekcan Demir Karahan Kürşat Alnıaçık Ali Sürmeli Selçuk Yöntem
Yalancılar ve Mumları,Medyapım,1,3 Ekim 2021 - 31 Ekim 2021,Dram Romantik Gerilim,FOX,Elçin Sangu Ceren Moray Şafak Pekdemir
Bir Peri Masalı,Medyapım,1,28 Eylül 2022 - 27 Aralık 2022,Dram,FOX,Alina Boz Taro Emir Tekin Hazal Filiz Küçükköse Nazan Kesal
Sultan,,1,28 Mayıs 2012  ( 2012-05-28 )  - 29 Ekim 2012,Dram Komedi,Kanal D  ( HD ),Nurgül Yeşilçay Şahin Irmak Merve Altınkaya Nur Sürer Settar Tanrıöğen Hande Dane Seray Gözler Hüseyin Karaca Orhan Şimşek Orhan Güner
Mahkum,MF Yapım,2,14 Aralık 2021 - 29 Ekim 2022,Aksiyon Dram,FOX,Onur Tuna İsmail Hacıoğlu Seray Kaya Melike İpek Yalova Gökçe Eyüboğlu
Kaçın Kurası,NTC Medya,1,23 Eylül 2016 - 14 Ekim 2016,Aşk Romantik komedi,atv,Selin Şekerci Serhat Teoman İbrahim Kendirci Açelya Devrim Yılhan Burak Tamdoğan Burcu Altın Köksal Engür
Anladık Oldu Teşekkürler,Süreç Film Zodyak Productions,1,22 Şubat 2013 [1],Komedi,MaxSmart Premium,Can Yücel Metin Nefin Huvaj Emre Şan Fatih Özkan Behre Övgü Özalp
Kayıp,D Productions,1,13 Eylül 2013 - 27 Ocak 2014,Dram Gerilim Polisiye,Kanal D  ( HD ),Mete Horozoğlu Aslı Enver İlker Kaleli Kaan Taşaner Dolunay Soysert
Azize,Süreç Film,1,19 Kasım 2019 - 28 Aralık 2019,Dram,Kanal D,Hande Erçel Buğra Gülsoy
Dokuz Oğuz,Gold Film,1,28 Ocak 2023 - 25 Mart 2023,Aksiyon Dram,FOX,Kubilay Aka Deniz Işın Yasemin Allen
Kurtlar Vadisi,Sinegraf  (2003-2004)  Pana Film  (2004-2005),4,15 Ocak 2003 - 29 Aralık 2005,Aksiyon Dram Politik,Show TV  (2003-2005)  Kanal D  (2005),Necati Şaşmaz Özgü Namal Selçuk Yöntem Oktay Kaynarca Zafer Ergin Gürkan Uygun
Aslan Ailem,Es Film,1,22 Ekim 2017 - 20 Mayıs 2018,Dram Komedi Aşk,TRT 1,Burcu Özberk Akın Akınözü Zerrin Sümer Ferdi Sancar Benian Dönmez Hakan Salınmış Can Kolukısa
Şahane Damat,Sinegraf,1,21 Haziran 2016 - 23 Ağustos 2016,Romantik komedi Aile,Star TV,Burcu Özberk Ali Ersan Duru Nükhet Duru Erhan Yazıcıoğlu Mesut Yılmaz Hande Kaptan Anıl İlter Leyla Göksun Köksal Engür Selen Uçer Mert Carim Binnur Şerbetçioğlu
Ağlama Anne,Süreç Film,1,7 Ekim 2018 - 30 Aralık 2018,Dram,atv,Birce Akalay Cansel Elçin Özlem Yılmaz
Doğruluk Ekseni,,1,14 Ekim 2008  ( 2008-10-14 ) [1]  -  16 Haziran 2009  ( 2009-06-16 ),Dram,Samanyolu TV,Rahman Görede
Büyük Yalan,Gold Film [1],2,19 Kasım 2004  ( 2004-11-19 )  -  9 Haziran 2006  ( 2006-06-09 ),Drama,atv [2],Emrah Sinem Öztufan
Sensiz Olmuyor,Yağmur Ajans,1,2005 - 21 Ağustos 2005,Drama,Show TV  (2005)  Kanal D  (2005),Özlem Conker Yeliz Şar Emre Altuğ Okan Yalabık İpek Tanrıyar Ebru Gürsoy Tayfun Çorağan Zeynep Eronat Mehmet Ali Kaptanlar Ayşegül Uygurer Kamil Sönmez Bülent Şakrak Durul Bazan Mahir İpek Onuryay Evrentan Gülsüm Kamu Aslan Altın
Üç Kadın,TRT,1,2005 - 2005,Dram,TRT 1,Fikret Hakan İpek Tenolcay Fatma Karanfil Nefise Karatay Murat Ünalmış Suna Keskin Zerrin Arbaş
Portatif Hüseyin,Star 1  (1991-1992)  HBB  (1992-1993),2,17 Eylül 1991  ( 1991-09-17 )  -  9 Mart 1993  ( 1993-03-09 ),Komedi,Star TV  (1991-1992) HBB  (1992-1993),Nezih Tuncay Orçun Sonat Yasemin Koşat Ali Yalaz Hadi Çaman Halit Akçatepe Gönül Tuncay Ayşegül Uygurer
20 Dakika,Ay Yapım,1,1 Ocak 2013 - 27 Haziran 2013,Dram Aksiyon,Star TV  ( HD ),Tuba Büyüküstün İlker Aksum Fırat Çelik Bülent Emin Yarar Müjde Uzman İpek Bilgin Ayten Uncuoğlu Cihat Tamer Metin Çekmez
Öğretmen,Medyapım MF Yapım,1,4 Mart 2020 - 15 Kasım 2020,Gençlik Psikolojik gerilim Dram,FOX,İlker Kaleli Ceren Moray Afra Saraçoğlu Serhat Kılıç Serkan Keskin Şerif Erol
Bizim Evin Halleri,TRT Focus Film,10,14 Şubat 2000 - 26 Aralık 2008,Aile Komedi Duygusal Dram,TRT 1  (14 Şubat 2000-30 Haziran 2006) Kanal 1  (9 Ekim 2006-27 Haziran 2008) atv  (1 Eylül 2008-26 Aralık 2008),Beyhan Saran Meral Niron Emel Göksu Ayşe Nil Şamlıoğlu Şahap Sayılgan Nusret Çetinel Pervin Ünalp Burak Demir Murat Demir Ozan Şenozan Berfu Öngören Hülya Gülşen Irmak Dilara Yalçın
Adını Sen Koy,Birsel Film (1. sezon) Karamel Yapım (1-4. sezon),4,19 Eylül 2016 - 13 Kasım 2018,Dram Romantik,"TRT 1 (2016-2017, 1. sezon) Star TV (2017-2018, 2 ve 3. sezon) TV8 (2018, 4. sezon)",Erkan Meriç  (1-365) Hazal Subaşı  (1-365) Cenk Torun  (366-397) Deniz Durmaz  (366-397)
İlişki Durumu: Evli,MF Yapım,1,1 Ekim 2016 - 22 Ekim 2016,Aşk Gençlik Romantik komedi,Show TV  ( HD ),Berk Oktay Seren Şirince Nurseli İdiz Serenay Aktaş
Çemberimde Gül Oya,Avşar Film,1,3 Eylül 2004 - 1 Temmuz 2005,Dram Politik,Kanal D,Selda Alkor Özge Özberk Mehmet Ali Nuroğlu Tuba Büyüküstün Melisa Sözen Suzan Aksoy Şerif Sezer Kenan Bal Işıl Yücesoy
Canevim,Koliba Film,1,27 Mayıs 2019 - 30 Eylül 2019,Dram Aile,atv,Aras Aydın Biran Damla Yılmaz Özgür Çevik Burcu Tuna Ezgi Şenler Nihan Büyükağaç Rıza Akın Bedia Ener
Sırılsıklam,,2,6 Ekim 1998 - 8 Haziran 2000,Drama Macera,Show TV,İbrahim Erkal Melis Yamalıoğlu Süleyman Turan Engin Koç Canan Perver Deniz Eroğlu Yosi Mizrahi Eşref Kolçak Kuzey Vargın Engin Günay Şener Gezgen Burçin Terzioğlu
Bahtiyar Ölmez,Nehir Yapım  (1-8) Baba Yapım  (9-19),1,11 Kasım 2017 - 24 Mart 2018,Komedi Aksiyon,atv  ( HD ),Yetkin Dikinciler Hande Subaşı
Seddülbahir 32 Saat,Okur Film,1,14 Ocak 2016  ( 2016-01-14 )  -  4 Şubat 2016  ( 2016-02-04 ),Tarihî Dramatik,TRT 1,Okan Yalabık İbrahim Çelikkol Dolunay Soysert Murat Ünalmış İlker Aksum Hakan Kurtaş Giovanni Arvaneh Uğur Güneş
Çatı Katı Aşk,Mia Yapım,1,9 Temmuz 2020 - 24 Ekim 2020,Romantik komedi,Kanal D,Furkan Andıç Ezgi Şenler Selin Şekerci Nilay Deniz Yiğit Kirazcı
Ezel,Ay Yapım,2,28 Eylül 2009 - 20 Haziran 2011,Aksiyon Dram,Show TV  (28 Eylül 2009-11 Ocak 2010) atv  (25 Ocak 2010-20 Haziran 2011),Kenan İmirzalıoğlu Cansu Dere Yiğit Özşener Barış Falay Tuncel Kurtiz Haluk Bilginer
İnadına Aşk,Sinegraf,1,2 Temmuz 2015 - 3 Şubat 2016,Romantik komedi,FOX,Can Yaman Açelya Topaloğlu Nilay Duru Eren Vurdem
Hayat Bazen Tatlıdır,Süreç Film,1,16 Ekim 2016 - 30 Nisan 2017,Dram Komedi Gençlik,Star TV,Birce Akalay Ufuk Özkan Kanbolat Görkem Arslan
Küstüm Çiçeği,,1,16 Eylül 2010 - 1 Ocak 2011,Komedi Aile,TRT 1,Salih Kalyon Füsun Demirel Ali Erkazan Esra Ronabar Engin Hepileri Sezin Akbaşoğulları Sezgi Mengi Ayşenur Yazıcı Sevim Gelenbe Murat Cemcir Aydoğan Oflu Erdal Tosun Nalan Gücüpek Ayfer Dönmez Emin Gürsoy Zeynep Evrim Aydın Kaya Akarsu
İz Peşinde,TRT,3,22 Ocak 1990 - 18 Ağustos 1995,Aksiyon Dram Duygusal Gerilim Macera Polisiye,TRT 1  (1990-1991)  Star TV  (1995),Mehmet Aslantuğ Erol Taş Gülen Karaman Osman Yağmurdereli Serdar Bostancı Bensu Orhunöz Orsel Sonat
Bir İstanbul Masalı,TMC,2,18 Eylül 2003 - 13 Haziran 2005,Aşk Drama,atv,Mehmet Aslantuğ Ahu Türkpençe Çetin Tekindor Altan Erkekli Arsen Gürzap Vahide Perçin İsmail Hacıoğlu Ozan Güven
Beş Kardeş,Ay Yapım,1,16 Şubat 2015 - 4 Ağustos 2015,Komedi,Kanal D  ( HD ),Serkan Keskin Osman Sonant Tansu Biçer Nadir Sarıbacak Fatih Artman
Aile Saadeti,,1,14 Ağustos 2009 - 26 Eylül 2009,Aile Komedi,atv,
Servet,Ortaks Yapım,1,12 Nisan 2018  ( 2018-04-12 )  -  3 Mayıs 2018  ( 2018-05-03 ),Dram,Show TV,Bahar Şahin Yusuf Çim
İkizler Memo-Can,Erler Film,1,27 Ekim 2018 - 8 Mayıs 2019,Komedi Aile,Kanal D,Nehir Erdoğan Özgürcan Çevik Emir Berke Zincidi Burak Hakkı Tuğba Çınar Atilla Saral
Aşağı Yukarı Yemişlililer,BKM Mutfak,1,10 Ağustos 2011 - 16 Ekim 2011,Komedi,atv,Şahin Irmak  - Sülo  Bülent Emrah Parlak  - Mikail  Murat Eken  - Serhat  Büşra Pekin  - Menekşe  Gülhan Tekin  - Emine  Burcu Gönder  - Handan
Pulsar,Rüzgar Yapım,1,10 Haziran 2008 - 14 Ekim 2008,Aile,Star TV,Pulsar Von Juliet Ayberk Koçar Buket Dereoğlu Kayra Şenocak Ecem Uzun
Bir Deli Sevda,Pastel Film,1,5 Nisan 2017 - 17 Mayıs 2017,Dram Aile Aşk,Show TV,Erkan Kolçak Köstendil Cansu Tosun Erdinç Gülener Deniz Uğur Cankat Aydos Esra Kızıldoğan Itır Esen Zafer Algöz Erkan Can
Tutunamayanlar,İstanbul Medya Akademisi Neden Film,1,7 Ocak 2020 - 2 Haziran 2020,Absürt komedi,TRT 1,Doğu Demirkol Ece Çeşmioğlu Zafer Algöz Barış Yıldız Bora Akkaş
Kalk Gidelim,Staff Film,4,18 Kasım 2017 - 31 Aralık 2020,Dram Komedi Aile,TRT 1,Ufuk Özkan Erkan Sever Ayça Varlıer Mehtap Bayri Beyazıt Gülercan
Aynadaki Düşman,,1,18 Nisan 2009 - 11 Temmuz 2009,Dram Aksiyon,TRT 1,Şafak Sezer Haluk Piyes Barış Kılıç Mine Tugay Mahir Günşiray Fadik Sevin Atasoy
Küçük Kadınlar,D Productions,3,10 Haziran 2008 - 13 Mart 2011,Dram,Kanal D  (2008-2010) Star TV  (2010-2011),Özge Borak Hande Soral Fulya Zenginer Ekin Türkmen Elit İşcan Selin Ilgar Ali İl Birsen Dürülü Ahmet Tansu Taşanlar Nur Hayat Boz Kıvanç Kasabalı Ahmet Levendoğlu Burak Sağyaşar Simge Selçuk Hülya Şen Cevdet Arıcılar Ayşegül Günay Duygu Keser Emre Tetikel Kemal Pekser
Umuda Kelepçe Vurulmaz,Bi Yapım Prodüksiyon,1,3 Kasım 2016  ( 2016-11-03 )  -  9 Şubat 2017  ( 2017-02-09 ),Dram Gençlik,FOX,Begüm Birgören Özge Özder Mert Yazıcıoğlu Melisa Şenolsun Burak Dakak
Yuva,TRT,1,12 Nisan 1990  ( 1990-04-12 ) [1]  -  28 Haziran 1990  ( 1990-06-28 ) [2],Duygusal Aile,TRT 1,Tamer Yiğit Sema Çelebi Muhterem Nur Mesut Çakarlı Tunç Güntay Kuzey Vargın Nazan Saatçi
Adı Mutluluk,Süreç Film,1,23 Haziran 2015 - 13 Ekim 2015,Gençlik Dram Romantik komedi,FOX,Ezgi Eyüboğlu Dilara Aksüyek Kaan Yıldırım
İkinci Bahar,Erler Film Most Production,3,29 Ekim 1998 - 11 Ocak 2001,Dram,atv  (1998-2001),Türkan Şoray Şener Şen Tarık Papuççuoğlu Güven Hokna Nedim Saban Özkan Uğur Nurgül Yeşilçay Ozan Güven
Yaralı Kuşlar,Stellar Yapım,1,1 Nisan 2019 - 29 Kasım 2019,Dram,Kanal D  ( HD ),Gizem Arıkan Emre Mete Sönmez Ali Yasin Özegemen Ayşen İnci Özgür Özberk Elif Erol Melis Cemre Çınar
Siyah Beyaz Aşk,D Productions,1,16 Ekim 2017 - 28 Mayıs 2018,Dram Aşk,Kanal D,İbrahim Çelikkol Birce Akalay
Adak,Gold Film,1,Eylül 2006 - Kasım 2006,Drama,Show TV,Emrah Hande Subaşı
Ulan İstanbul,D Productions,1,23 Haziran 2014 - 23 Mart 2015,Aksiyon Komedi Macera Aşk,Kanal D  ( HD ) (1-39),Uğur Polat Şebnem Bozoklu Erkan Kolçak Köstendil Kaan Yıldırım Sevtap Özaltun Salih Bademci
Cam Tavanlar,OJO Pictures,1,9 Haziran 2021 - 4 Ağustos 2021,Drama Romantik komedi,Show TV,Bensu Soral Kubilay Aka
