Title,Yapımşirketi,Yönetmen,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Harem,Tükenmezkalem Film,Süleyman Seçik,1,30 Eylül 2012  ( 2012-09-30 )  -  17 Haziran 2013  ( 2013-06-17 ),Sitcom,FOX -  ( - HD - ),Levent Üzümcü -  - Nurseli İdiz -  - Belma Canciğer -  - Başak Sayan -  - Çiçek Dilligil -  - Duygu Şen -  - Zuhal Yalçın -  - Önder Açıkbaş -  - Mehmet Ali Erbil -  - Serhan Arslan -  - Gamze Karaman -  - Ömür Özdemir -  - Hande Katipoğlu
Muhteşem Yüzyıl: Kösem,Tims Productions,Çağatay Tosun -  - Zeynep Günay,2,12 Kasım 2015 - 27 Haziran 2017,Tarihî -  - Drama -  - Aksiyon -  - Yarıkurgu,Star TV -  ( - HD - ) (2015-2016)  -  - FOX -  ( - HD - ) (2016-2017),1. sezon Beren Saat Ekin Koç Aslıhan Gürbüz Anastasia Tsilimpiou Hülya Avşar Tülin Özen 2. sezon Nurgül Yeşilçay Metin Akdülger Farah Zeynep Abdullah Tugay Mercan
Hayat Bugün,O3 Medya,Çiğdem Bozali -  (1-4) -  - Volkan Kocatürk -  (5-8),1,19 Ekim 2022 - 7 Aralık 2022,Medikal -  - Dram,Show TV,Ulaş Tuna Astepe -  - Hazar Ergüçlü -  - Tansel Öngel -  - Hande Doğandemir
Ritmini Arayan Kalpler,Ser Film,Hasan Kıraç,1,16 Kasım 2009  ( 2009-11-16 )  -  14 Haziran 2010  ( 2010-06-14 ),Dram,Samanyolu TV,Yaren Aynuz
Kusursuz Kiracı,MF Yapım,Yusuf Pirhasan,1,30 Ağustos 2022 - 4 Ekim 2022,Dram,FOX,Dilan Çiçek Deniz -  - Serkay Tütüncü -  - Bennu Yıldırımlar
Babil,Ay Yapım,Uluç Bayraktar,2,17 Ocak 2020 - 20 Kasım 2020,Dram -  - Psikolojik gerilim,Star TV,Halit Ergenç -  - Ozan Güven -  - Aslı Enver -  - Birce Akalay -  - Nur Fettahoğlu -  - Mesut Akusta -  - Onur Saylak
Aşk ve Ceza,TMC Film,Kudret Sabancı,2,5 Ocak 2010 - 27 Haziran 2011,Dram -  - Aşk -  - Romantik,atv,Murat Yıldırım -  - Nurgül Yeşilçay -  - Feride Çetin -  - Tomris İncer -  - Caner Kurtaran
Güneşin Kızları,Süreç Film,Sadullah Celen,1,18 Haziran 2015 - 19 Mart 2016,Romantik -  - Komedi -  - Drama -  - Aile,Kanal D,Emre Kınay -  - Evrim Alasya -  - Tolga Sarıtaş -  - Burcu Özberk -  - Hande Erçel -  - Berk Atan
İçimizden Biri,Süreç Film,Ersoy Güler,1,12 Eylül 2021 - 19 Ekim 2021,Aşk -  - Komedi -  - Dram,Show TV,Bora Akkaş -  - Özge Yağız -  - Mustafa Avkıran -  - Derya Alabora -  - Benian Dönmez -  - Renan Bilek
Efsane,Replik Ajans,Tunç Başaran,1,2002 - 2002,Fantastik -  - Polisiye -  - Macera,Star TV -  (2002),Şemsi İnkaya -  - Tardu Flordun
Aşk ve Gurur,Limon Film,Taner Akvardar,1,5 Mart 2017 - 11 Nisan 2017,Dram -  - Aşk,"Show TV -  (2017)  -  - Show Max -  (2019, tekrar)",Mert Fırat -  - Damla Sönmez -  - Alper Saldıran -  - Tülin Özen -  - Ahmet Rıfat Şungar
Aşk Ağlatır,MF Yapım,Gökçen Usta,1,8 Eylül 2019 - 22 Aralık 2019,Dram,Show TV,Deniz Can Aktaş -  - Hafsanur Sancaktutan -  - Yağız Can Konyalı -  - Eda Şölenci
Bir Umut Yeter,MF Yapım,Yusuf Pirhasan,1,27 Eylül 2018 - 12 Kasım 2018,Drama,Kanal D,Tolgahan Sayışman -  - Esra Bilgiç -  - Hazal Subaşı -
Seksenler,MinT Motion Pictures,"Birol Güven -  - (2012) -  - Müfit Can Saçıntı -  - (2012-2016) -  - Bora Tekay -  - (2016-2017, 2019-2021, 2022) -  - Mustafa Uğur Yağcıoğlu -  - (2021-2022)",10,24 Ocak 2012 - 10 Haziran 2022,Sitcom -  - Nostalji -  - Romantik,TRT 1 -  - Beyaz TV -  (tekrar),Özlem Türkad -  - Şoray Uzun -  - Ayşe Tolga -  - İlker Ayrık -  - Zeynep Sever -  - Eski başroller -  - Rasim Öztekin -  - Yasemin Baştan -  - Serhat Kılıç -  - Ceyhun Fersoy
Bir Zamanlar Osmanlı,Herşey Film,Altan Dönmez,2,12 Mart 2012 - 17 Aralık 2012,Tarihî,TRT 1 -  ( - HD - ),Türkân Şoray -  - Özcan Deniz -  - Aslı Tandoğan -  - Cemal Hünal -  - Tolga Karel -  - Hâzım Körmükçü -  - Fırat Tanış
Kalbimin Sultanı,Maya Productions,Kerem Çakıroğlu -  - Eda Teksöz,1,13 Haziran 2018 - 6 Ağustos 2018,Tarihî,Star TV,Ali Ersan Duru -  - Alexandra Nikiforova -  - Tansel Öngel -  - Emel Çölgeçen
Dinle Sevgili,Base Yapım,Neslihan Yeşilyurt,2,20 Haziran 2011 - 28 Eylül 2012,Dram -  - Aşk,FOX,Cem Kılıç
Kanıt,ANS Productions,Biray Dalkıran,3,8 Temmuz 2010 - 3 Şubat 2013,Polisiye,Kanal D -  ( - HD - ),Sevil Atasoy -  - Engin Benli -  - Deniz Celiloğlu -  - Tolga Karel
Çiçek Taksi,Ulusal Radyo Televizyon Erler Film,Yaşar Seriner -  - Ümit Efekan -  - Mehmet Bozkuş -  - Erdoğan Tokatlı,7,27 Eylül 1995 - 27 Aralık 2003,Aile -  - Komedi,"atv -  (1995-1998, 2000, 169 Bölüm) -  - TRT 1 -  (2001-2003, 198 Bölüm)",Erol Günaydın -  - Eşref Kolçak -  - Ümit Yesin -  - Bekir Aksoy -  - Cengiz Küçükayvaz -
Karayılan,Sis Yapım,Cem Akyoldaş -  - Feride Kaytan,1,19 Kasım 2007 - 22 Nisan 2008,Tarihî -  - Dram,atv,Bülent İnal -  - Begüm Birgören -  - Engin Akyürek
İsimsizler,Es Film Barakuda Film,Osman Kaya -  (1-2) -  - Emre Konuk -  (3-13) -  - Volkan Kocatürk -  - (14-27),2,27 Mart 2017  ( 2017-03-27 )  -  16 Aralık 2017  ( 2017-12-16 ),Polisiye -  - Aksiyon -  - Askeri -  - Savaş,Kanal D,Uğur Güneş -  - Algı Eke  -  -  Bülent Alkış -  - Taner Ertürkler -  -  Sedat Mert -  -  Çağkan Çulha -  -  Volkan Keskin -  -  Musab Ekici -  -  Sera Kutlubey
Kasaba Doktoru,ARC Film,Arda Sarıgün -  (1-21) -  - Bahadır İnce -  (22-32),2,8 Nisan 2022 - 18 Ocak 2023,Medikal -  - Dram -  - Romantik,TRT 1,Ozan Akbaba -  - Deniz Can Aktaş -  - Hazal Subaşı
Halil İbrahim Sofrası,TRT,Ahmet Katıksız,1,31 Ağustos 2010 - 6 Haziran 2011,Komedi -  - Aile -  - Dram,TRT 1,Hasan Kaçan -  - Kadir Çöpdemir -  - Ahmet Yenilmez -  - Burak Satıbol -  - Seray Gözler -  - Ayçe Abana -  - Özlem Türay -  - İnan Ulaş Torun -  - Özge Sezince Varley -  - Serkan Ercan
Gözlerinde Son Gece,Gold Film,Faruk Turgut,1,16 Ekim 1996 - 15 Ocak 1997,Drama,Star TV,Türkan Şoray -  - Rutkay Aziz -  - Kaan Girgin -  - Selen Yıldız -  - Levent Özdilek -  - Atilla Olgaç -  - Bülent Bilgiç
Sana Bir Sır Vereceğim,Scor Films,Cevriye Demir -  - Filiz Gülmez Pakman,1,5 Temmuz 2013 - 2 Şubat 2014,Aile -  - Drama -  - Fantastik,FOX,Murat Han -  - Esra Ronabar -  - Ekin Koç -  - Demet Özdemir
Benim Annem Bir Melek,BKM Film İmaj  (post prodüksiyon),Hakan Algül,3,30 Mart 2008 - 10 Mayıs 2010,Aile -  - Durum komedisi,atv -  (2008-2009)  -  - Star TV -  (2009-2010)  -  - a2 -  (tekrar),Oya Başar -  - Tarık Ünlüoğlu -  - Dolunay Soysert -  - Ali Sunal -  - Şehsuvar Aktaş -  - Ayçin İnci
Küçük İbo,Sedine Prodüksiyon,Hüseyin Karakaş -  - Zeynep Tor,4,1 Şubat 1997 - 29 Mayıs 2000,Dram -  - Gerilim,Show TV,"İbrahim Küçük -  (İbo), -  - Bülent Bilgiç -  (Hasan), -  - Yasemin Koşal -  (Aysel), -  - Levent Üzümcü -  (Raşit), -  - Nazan Ersan -  (Cemile), -  - Selen Güzel -  (Mine), -  - Ceyda Ateş -  (Elmas), -  - Canan Kılıç -  (Ayşe), -  - Günyol Bakoğlu -  (Mehmet), -  - Nurhan Yılma -  (Menekşe), -  - Şinasi Yurtsever -  (Selçuk) -  - Canan Akgül -  (Hatice) -  - Merve Erdoğan -  ()"
Baba Evi,Muhteşem Film,Yusuf Kurçenli -  - Orhan Oğuz -  - Mahinur Ergun -  - Feyzi Tuna -  - Erden Kıral,4,19 Eylül 1997 [1]  - 8 Haziran 2001,Dram,atv,Halil Ergün -  - Deniz Gökçer -  - Sevinç Erbulak -  - Ayşegül Ünsal -  - Altan Karındaş -  - İsmet Ay -  - İhsan Devrim
Bebek İşi,Limon Film,Tolga Karaçelik,1,15 Temmuz 2013 - 4 Kasım 2013,Komedi,Show TV -  (2013),Nurgül Yeşilçay -  - Timur Acar
Sevgili Dünürüm,Gold Film,Hakan Algül,1,19 Ekim 2007 - Mayıs 2008,Durum komedisi,Star TV,Engin Altan Düzyatan -  - Rojda Demirer -  - Haluk Bilginer -  - Sumru Yavrucuk
Can Kırıkları,NTC Medya,Serkan Birinci,1,8 Ekim 2018 - 29 Ekim 2018,Aksiyon -  - Dram,atv,Hande Doğandemir -  - Funda Eryiğit -  - Seçkin Özdemir -  - Alican Yücesoy -  - Özgür Çevik
Alacakaranlık,Paranoya TV,Yağmur Taylan -  - Paxton Winters -  - Durul Taylan -  - Alican Yücel,2,22 Ekim 2003 - 28 Mart 2005,Polisiye -  - Macera -  - Gerilim -  - Aksiyon,Show TV,Uğur Yücel -  - Kenan İmirzalıoğlu
Türkan Hanım'ın Konağı,Tuva Yapım,Mehmet Atan,1,14 Eylül 2020 - 11 Haziran 2021,Aile -  - Dram,TRT 1,Arzu Yanardağ -  - Mürşit Ağa Bağ -  - Ayşen İnci -  - Okan Yiğit
Bir Derdim Var,Ay Yapım -  - AyNA Yapım,Burak Müjdeci -  - Özkan Say,1,9 Kasım 2023 - 14 Aralık 2023,Dram,Kanal D,Birce Akalay -  - Mert Fırat
Hayatımın Şansı,NTC Medya,Cemal Şan -  (1-7) -  - Ufuk Hakan Eren -  (8-9),1,14 Aralık 2022 - 10 Mart 2023,Dram,FOX,Alican Yücesoy -  - Şifanur Gül -  - Erkan Avcı -  - Musa Uzunlar
Yağmurdan Sonra,Samanyolu TV,Cemile Kırmızı Karadaş (1-4)  -  -  U. Yağmur Yavuz (5-14)  -  -  Hüdaverdi Yavuz (15-19)  -  -  Naci Çelik Berksoy (20-39),1,21 Eylül 2006  ( 2006-09-21 ) [1]  -  28 Haziran 2007  ( 2007-06-28 ),Dram,Samanyolu TV,Seçil Mutlu -  - Yıldız Çağrı Atiksoy -  - Ali Sürmeli -  - Atilla Olgaç -  - Kayra Şenocak -  - Sefa Zengin
Kara Para Aşk,Ay Yapım,Ahmet Katıksız,2,12 Mart 2014 - 15 Temmuz 2015,Aksiyon -  - Polisiye -  - Dram,atv -  ( - HD - ),Engin Akyürek -  - Tuba Büyüküstün -  - Erkan Can -  - Saygın Soysal -  - Nebahat Çehre -  - Burak Tamdoğan
O Kız,Content House,Özlem Günhan -  (1-4) -  - Deniz Yılmaz Şayir -  (5-24),1,21 Eylül 2022 - 15 Mart 2023,Dram,Kanal D,Erkan Petekkaya -  - Sezin Akbaşoğulları -  - Rojda Demirer -  - Dilin Döğer -  - Ali Öner -  - Cengiz Orhonlu
N'olur Ayrılalım,Sinegraf,Yusuf Ömer Sınav,1,15 Temmuz 2016 - 12 Ağustos 2016,Romantik komedi,FOX,Nilay Duru -  - Aras Aydın -  - Gürgen Öz -  - Nilperi Şahinkaya
Diriliş Ertuğrul,Tekden Film,Metin Günay,5,10 Aralık 2014 - 29 Mayıs 2019,Tarihî -  - Kurgu -  - Aksiyon -  - Macera -  - Dram,TRT 1 -  ( - HD - ) -  - TRT İzle -  (Dijital) -  - YouTube TV -  (Dijital) -  - Netflix -  (Uluslararası),Engin Altan Düzyatan -  - Kaan Taşaner -  - Hülya Darcan -  - Esra Bilgiç -  - Didem Balçın -  - Serdar Gökhan -  - Hakan Vanlı -  - Serdar Deniz -  - Levent Öktem -  - Hande Subaşı -  - Burcu Kıratlı -  - Barış Bağcı -  - Uğur Güneş -  - Ayberk Pekcan -  - Osman Soykut -  - Mehmet Çevik -  - Sezgin Erdemir -  - Kürşat Alnıaçık -  - Cem Uçan -  - Erden Alkan -  - Gülsim Ali -  - Gülçin Santırcıoğlu -  - Murat Garipağaoğlu -  - Çağdaş Onur Öztürk -  - Cengiz Coşkun -  - Cavit Çetin Güner -  - Nurettin Sönmez -  - Cemal Hünal -  - Burak Hakkı -  - Batuhan Karacakaya -  - Hande Soral -  - İlker Aksum -  - Ali Ersan Duru
Böyle Bitmesin,AT Yapım,Emre Kabakuşak,2,21 Eylül 2012 - 6 Haziran 2014,Dram -  - Polisiye -  - Sosyal,TRT 1 -  ( - HD - ),Yeliz Kuvancı -  - Nergis Öztürk -  - Cemal Toktaş
Zerda,TMC,Kudret Sabancı,2,26 Eylül 2002 - 3 Haziran 2004,Drama,atv,Yavuz Bingöl -  - Ece Uslu -  - Burak Sergen -  - Güven Hokna -  - Halit Ergenç -  - Hülya Şen
Yalaza,Sinegraf,Osman Sınav -  - Mehmet Bahadır Er,1,16 Eylül 2017  ( 2017-09-16 )  -  5 Şubat 2018  ( 2018-02-05 ),Komedi -  - Aile,TRT 1,Sinan Albayrak -  - Didem Balçın -  - İpek Tuzcuoğlu -  - Hasan Kaçan -  - Kadir Çöpdemir
İçimizdeki Ateş,Fabrika Yapım,Murat Onbul,1,23 Haziran 2022 - 21 Temmuz 2022,Dram -  - Romantik komedi,atv,Burak Sevinç -  - Ceren Benderlioğlu -  - İpek Filiz Yazıcı -  - Atakan Hoşgören -  - Gizem Arıkan
Kara Melek,Eylül TV,Uğur Erkır -  (1. sezon) -  - Dilek Gökçin -  - Türkan Derya,4,19 Şubat 1997 - 19 Ocak 2000,Macera -  - Dram,Star TV,Sanem Çelik -  - Ece Uslu -  - Mustafa Alabora -  - Toprak Sergen -  - Ziya Kürküt -  - Zehra Alptürk -  - Aliye Uzunatağan -  - Sevtap Çapan -  - Memet Ali Alabora -  - Şenay Gürler -  - Ebru Akel -  - Yağmur Kaşifoğlu -  -  ve  - Zerrin Arbaş
Belalı Baldız,Medyapım,Fatih Aksoy -  - Yonca Güzelpınar -  - Günay Köker,1,11 Eylül 2005 - 22 Haziran 2006,Komedi -  - Aile,atv,Nurgül Yeşilçay -  - Berna Laçin -  - Kenan Işık -  - Mehmet Aslan -  - Cemre Özer -  - Sedef Şahin -  - Raffaele Cedolini -  - Selin Denizli
Mavera,Es Film,Doğan Ümit Karaca,1,12 Nisan 2021 - 7 Mayıs 2021,Tarihî -  - Dram -  - Dîni,TRT 1,Korel Cezayirli -  - Görkem Sevindik -  - Tansel Öngel -  - Sinan Tuzcu -  - Hasan Küçükçetin -  - Recep Usta -  - Zara -  - Ferit Kaya -  - Mehmet Korhan Fırat -  - Hakan Adrian Can -  - Evren Erler -  - Nusret Çetinel
Karışık İş,Ay Yapım,Uğur Erkır,1,20 Eylül 1991  ( 1991-09-20 )  -  22 Kasım 1991  ( 1991-11-22 ),Komedi,Star TV,Gazanfer Özcan -  - Gönül Ülkü -  - Füsun Önal -  - İsmail İncekara -  - Saltuk Kaplangı -  - Gazanfer Ündüz -  - Fulya Özcan -  - Çiçek Dilligil -  - Göksel Kortay
Benim İçin Üzülme,Boyut Film,Serkan Birinci,2,6 Kasım 2012 - 29 Nisan 2014,Dram,atv -  (2012-2013)  -  - Show TV -  (2013-2014),Fulya Zenginer -  - Tansel Öngel -  - Çağlar Ertuğrul -  - Öykü Çelik -  - Rana Cabbar -  - Beyazıt Gülercan
Kavak Yelleri,Tims Productions,Jale İncekol -  - Cevdet Mercan -  - Osman Taşcı,5,31 Mayıs 2007 - 30 Ağustos 2011,Gençlik -  - Dram,Kanal D,Dağhan Külegeç -  - Pelin Karahan -  - İbrahim Kendirci -  - Aslı Enver -  - Sarp Apak -  - Ceren Moray -  -  Cemil Büyükdöğerli  -  - Ferit Aktuğ -  - Lale Mansur
Medcezir,Ay Yapım,Ali Bilgin -  - Deniz Yorulmazer,2,13 Eylül 2013 - 12 Haziran 2015,Gençlik -  - Drama,Star TV -  (2013-2015),Çağatay Ulusoy -  - Serenay Sarıkaya
Kaçak,Süreç Film,Volkan Kocatürk -  - Serkan Birinci,2,24 Eylül 2013 - 3 Şubat 2015,Polisiye -  - Aksiyon -  - Macera -  - Mafya,atv -  ( - HD - ),Gürkan Uygun -  - Hasan Küçükçetin -  - İnanç Konukçu -  - Berk Hakman -  - Mustafa Avkıran -  - Begüm Birgören -  - Burak Deniz -  - Metin Coşkun -  - Yosi Mizrahi -  - Haluk Bilginer -  - Yağmur Tanrısevsin -  ve  - diğerleri
Şeref Sözü,TIMS&B Productions,Cevdet Mercan,1,14 Ekim 2020 - 4 Kasım 2020,Aksiyon -  - Dram,Show TV,Tolgahan Sayışman -  - Sude Güler
Ramo,BKM,Yağız Alp Akaydın -  -  (1-11) -  - Çağatay Tosun -  - (12-40),2,14 Ocak 2020 - 16 Nisan 2021,Aksiyon -  - Dram -,Show TV,Murat Yıldırım -  - Esra Bilgiç -  - İlker Aksum -  - Mehmet Yılmaz Ak -  - Olgun Şimşek -  - Yiğit Özşener
Sen Anlat Karadeniz,Sinegraf,Murat Onbul -  - Yusuf Ömer Sınav -  - Veli Çelik -  - Emre Kabakuşak,3,24 Ocak 2018 - 13 Kasım 2019,Dram,atv,Ulaş Tuna Astepe -  - İrem Helvacıoğlu -  - Mehmet Ali Nuroğlu
Fırıldak Nuri,Gold Film,Aydın Bağardı,1,7 Mart 1995 - 4 Nisan 1995,Komedi,Star TV,Mehmet Ali Erbil -  - Hamdi Alkan -  - Baykal Kent
Erkenci Kuş,Gold Film,Çağrı Bayrak -  - Aytaç Çiçek,1,26 Haziran 2018 - 6 Ağustos 2019,Romantik komedi,Star TV,Can Yaman -  - Demet Özdemir
Nefes Nefese,TMC Film,Aydın Bulut,1,1 Ağustos 2018 - 14 Ekim 2018,Dram -  - Aksiyon,Star TV,Şükrü Özyıldız -  - Melisa Şenolsun -  - Uğur Yücel
Eyvah Babam,Doku Film,Ünal Küpeli -  (1–39)  -  -  Cemal Kavrar (35–39),2,3 Ekim 1998  ( 1998-10-03 ) [1]  -  15 Mart 2000  ( 2000-03-15 ) [1] [2] [3],Komedi,Kanal D,Haluk Bilginer -  - Osman Cavcı -  - Savaş Ay -  - Uğur Kıvılcım -  - Umut Sezgin -  - Açelya Elmas
Yahşi Cazibe,Süreç Film,Bora Onur,2,16 Temmuz 2010 - 16 Haziran 2012,Romantik komedi -  - Sit-com,atv -  ( - HD - ) -  - a2,Hakan Yılmaz -  - Aslıhan Gürbüz -  - Gökçe Özyol -  - Hande Katipoğlu -  - Ege Kökenli -  - Bekir Aksoy -  - Sezai Aydın -  - Serhan Arslan
Alın Yazım,Düş Gezginleri Film,Irmak Çengel -  - Atilla Cengiz,2,1 Eylül 2014 - 16 Ekim 2015,Dram -  - Gençlik,Kanal D -  ( - HD - ) (2014-2015) -  - TV 2 -  (HD) (Tekrar bölümleri) -  - 2M TV -  (Marruecos) -  - TVN -  (HD) (Chile) -  - Telefuturo -  (Paraguay),Duygu Keser -  - Ozan Dağgez -  - Yeşim Gül -  - Orhan Aydın -  - Deniz Durmaz -  - Ayberk Aladar
Vatanım Sensin,O3 Medya,Taylan Biraderler -  - Burak Arlıel,2,27 Ekim 2016 - 7 Haziran 2018,Tarihî -  - Dram,Kanal D,Halit Ergenç -  - Bergüzar Korel
Badem Şekeri,ANS Productions,Aydın Bulut,1,3 Temmuz 2017 - 20 Aralık 2017,Romantik komedi,FOX,Burcu Özberk -  - Alper Saldıran -  - Mehmet Atay -  - Taner Taneri
Yeşil Deniz,TFT Yapım,Yahya Samancı,2,24 Ekim 2014 - 30 Mayıs 2016,Romantik komedi -  - Dram,TRT 1 -  ( - HD - ),Burak Serdar Şanal -  - Mert Turak -  - Burak Alkaş -  - Ali Barkın -  - Melis Babadağ -  - Öykü Çelik
Poyraz Karayel,Limon Film,Çağrı Vila Lostuvalı -  (1-62) -  - Osman Taşcı -  (63-82),3,7 Ocak 2015 - 1 Mart 2017,Polisiye -  - Aşk -  - Dram -  - Eğlence,Kanal D -  ( - HD - ),İlker Kaleli -  - Burçin Terzioğlu -  - Musa Uzunlar
Kara Sevda,Ay Yapım,Hilal Saral,2,14 Ekim 2015 - 21 Haziran 2017,Aşk -  - Drama,Star TV -  ( - HD - ),Burak Özçivit -  - Neslihan Atagül -  - Kaan Urgancıoğlu
Aşk Kapıyı Çalınca,Koliba Film,Ömer Gökhan Erkut,1,10 Temmuz 2007 - 28 Ağustos 2007,Dram -  - Duygusal,Star TV -  (2007),Burak Kut -  - Burak Davutoğlu -  - Erdal Küçükkömürcü -  - Bahar Öztan -  - Aslı Yılmaz -  - Nihal Menzil -  - İpek Erdem -  - Bersun Goriça -  - Deniz Özmen -  - Hümeyra Aydoğdu -  - Selçuk Özdoğan -  - Serap Matyaş -  - Serkan Uzuner -  - Çağlar Tüfekçi -  - Gökhan Özaras -  - Semra Kaygun
Menajerimi Ara,Ay Yapım,Ali Bilgin -  (1-9) -  - Deniz Çelebi Dikilitaş -  (10-45),1,25 Ağustos 2020 - 11 Temmuz 2021,Drama -  - Komedi,Star TV,Barış Falay -  - Canan Ergüder -  - Fatih Artman -  - Serhat Teoman -  - Ahsen Eroğlu -  - Deniz Can Aktaş -  - Ayşenil Şamlıoğlu -  - Özge Borak
Yedi Numara,TRT,Haluk Bener -  - Sadullah Celen,3,23 Ekim 2000  ( 2000-10-23 ) [1]  -  23 Haziran 2003  ( 2003-06-23 ) [2],Gençlik -  - Komedi,TRT 1,Şebnem Sönmez -  - Engin Alkan -  - Tuba Erdem -  - Okan Selvi -  - Ayça Mutlugil -  - Nuray Uslu -  - Gülden Güney -  - Volkan Girgin
Düşman Kardeşler,Sinetel Film,Semra Dündar,1,5 Temmuz 2012 - 17 Eylül 2012,Komedi,Show TV,Tarık Papuççuoğlu -  - Murat Eken -  - Kaan Urgancıoğlu -  - Oya Aydoğan -  - Hande Subaşı -  - Burcu Biricik
Suskunlar,Tims Productions,Umur Turagay -  (1)  - Çağatay Tosun -  (2-16)  -  - Çağrı Vila Lostuvalı -  (17-28) -  - Hatice Memiş -  (17-28),2,1 Mart 2012 - 2 Aralık 2012,Dram -  - Gerilim,Show TV -  (2012),Murat Yıldırım -  - Sarp Akkaya -  - Güven Murat Akpınar -  - Aslı Enver -  - Berk Hakman -  - Pelin Akil
Hepimiz Birimiz İçin,Artı Film,Serkan Birinci -  - Sadullah Celen,1,3 Temmuz 2008 - 31 Temmuz 2008,Romantik komedi -  - Dram,Kanal D,Seda Güven -  - Buğra Gülsoy
Bitmeyen Şarkı,Gold Film,Sadullah Celen -  - Deniz Akçay,1,23 Ağustos 2010 - 26 Nisan 2011,Aşk -  - Drama,atv,Bergüzar Korel -  - Bülent İnal
Bedel,NTC Medya,Ulaş İnaç -  (1-3) -  - Feride Kaytan -  (4-7) -  - Şenol Sönmez -  (8-15) -  - Tuna Aktaş -  (16-20) -  - Mücahit Akyoldaş -  (16-20),1,29 Ocak 2015 - 18 Haziran 2015,Dram -  - Aşk,atv,Necip Memili -  - Sedef Avcı -  - Berk Erçer
Sıfırıncı Gün,Acun Medya,Süleyman Mert Özdemir -  - (1-4) -  - Çağatay Tosun -  - (5-6),1,28 Aralık 2022 - 24 Şubat 2023,Polisiye -  - Aksiyon -  - Dram,TV8,Engin Öztürk -  - Berk Cankat -  - Yiğit Özşener -  - Aybüke Pusat -  - Damla Colbay -  - Sarp Akkaya
Senden Daha Güzel,Gold Film,Deniz Koloş -  (1) -  - Hakan Kırvavaç -  (2-11) -  - Ersoy Güler -  (12-14),1,7 Haziran 2022 - 17 Eylül 2022,Romantik komedi -  - Dram -  - Medikal,FOX,Cemre Baysel -  - Burak Çelik
Annemizi Saklarken,OJO Pictures,Barış Yöş,1,8 Aralık 2021 - 2 Şubat 2022,Dram,Star TV,Kutsi -  - Hande Doğandemir -  - Yeşim Ceren Bozoğlu -  - Hatice Aslan
Büyük Sır,Limon Yapım,Raşit Çelikezer,1,24 Şubat 2014 - 28 Şubat 2014,Dram -  - Gerilim -,Show TV -  (2014),Zeynep Ekin Öner -  - Eda Aydınlı -  - Deniz Gökçe Kayhan -  - Gülin Ersoy -  - Şevki Çepa
Gurbet Kadını,Erler Film,Melih Gülgen,2,6 Ekim 2003  ( 2003-10-06 ) [1]  -  28 Haziran 2005  ( 2005-06-28 ) [2] [3] [4] [5] [6],Dram,Show TV,Meltem Cumbul -  - Burak Hakkı -  - Fatma Girik
Yeni Gelin,Süreç Film,Ersoy Güler -  - Tülay Kocatürk,3,11 Mart 2017 - 24 Kasım 2018,Komedi -  - Aşk -  - Drama,Show TV -  ( - HD - ),Jessica May -  - Tolga Mendi
Asmalı Konak,ANS Productions D Productions,Çağan Irmak,2,11 Mart 2002 - 16 Haziran 2003,Dram -  - Duygusal,atv,Özcan Deniz -  - Nurgül Yeşilçay -  - Selda Alkor
Erkek Tarafı,Marmara Yapım,Cem Sürücü,1,6 Eylül 2005 - 2005,Komedi,Star TV -  (2005),Burak Sergen -  - Asuman Dabak -  - Murat Onuk -  - Ali Düşenkalkar -  - Kamil Güler -  - Nejat Birecik -  - Güler Ökten -  - Eylem Şenkal
Cesur Yürek,Fark Film,Emre Kabakuşak,1,13 Ekim 2016 - 16 Mart 2017,Dram -  - Aksiyon,Show TV,Onur Tuna -  - Rüveyda Öksüz -  - Hüseyin Avni Danyal -  - Hakan Yufkacıgil
Zapping Ailesi,Vipsaş,Naci Çelik,1,23 Aralık 1993  ( 1993-12-23 )  -  14 Nisan 1994  ( 1994-04-14 ),Aile -  - Komedi,Kanal D,Selma Güneri -  - Saadettin Erbil -  - Tuna Arman -  - Tuncay Özinel -  - Engin Tezel -  - Aytek Yılmaz
Uy Başuma Gelenler,Süreç Film,Berrin Dağçınar,1,5 Temmuz 2004  ( 2004-07-05 ) [1]  -  30 Ağustos 2004  ( 2004-08-30 ) [2] [3],Komedi,Show TV,Hakan Yılmaz -  - Başak Köklükaya -  - Aykut Oray -  - Nefise Karatay -  - Mustafa Üstündağ
Hayat Türküsü,Koliba Film,Hakan Gürtop,2,21 Ocak 2006  ( 2006-01-21 )  -  16 Haziran 2007  ( 2007-06-16 ),Dram -  - Genel,TRT 1,Burak Davutoğlu -  - Devin Özgür Çınar -  - Sermin Hürmeriç -  - Aslı Yılmaz -  - Tolga Evren -  - Betül Arım -  - Melih Görgün -  - Haldun Boysan -  - Uğur Çavuşoğlu -  - Jale Aylanç -  - İpek Atagün -  - Canan Güven -  - Özlem Başkaya
Yazlıkçılar,Bugay Yapım,Yalçın Yelence,6,1 Ağustos 1993 - 4 Ekim 1998,Aile -  - Komedi -  - Macera -  - Duygusal,TRT 1 -  (1993-1994)  -  - Star TV -  (1995-1998),Engin Şenkan -  - Ayşe Kökçü -  - Ercan Yazgan -  - Sıdıka Şenkan -  - Güzin Özipek
