Title,Tür,Yönetmen,Kanal,Başrol
Ölene Kadar,Dram -  - Aşk,Umur Turagay -  - Feride Kaytan,atv,Engin Akyürek -  - Fahriye Evcen -  - Sarp Levendoğlu -  - Gülcan Arslan -  - Tansu Biçer -  - Ferdi Sancar -  - Demir Karahan -  - Didem Balçın -  - Mesut Akusta -  - Ragıp Savaş -  - Lale Mansur -  - Avni Yalçın -  -   Zeki Eker
Uzak Şehrin Masalı,Dram,Mustafa Şevki Doğan -  - Tuğçe Hükeyme Küçükkalıpçı,FOX,Aslıhan Güner -  - Barış Kılıç -  - Timur Acar -  - Begüm Birgören
Yılan Hikâyesi,Dram -  - Komedi -  - Polisiye,Nihat Durak,Kanal D -  (1999-2002),Meltem Cumbul -  - Memet Ali Alabora
Yol Arkadaşım,Dram -  - Komedi -  - Romantik,Irmak Çığ,Kanal D -  (12 Mayıs 2008-29 Aralık 2008)  -  - Star TV -  (29 Ocak 2009-15 Haziran 2009),Özge Özberk -  - Polat Bilgin -  - Sinan Tuzcu -  - Tanju Tuncel -  - Ayşe Tunaboylu -  - Goncagül Sunar
Yetim Gönüller,Dram -  - Aşk,Yıldız Aşanboğa,Samanyolu TV,Yağmur Ün -  - Gürkan Günal
Gönül Hırsızı,Romantik komedi -  - Dram -  - Gerilim,Ayhan Özen -  - Yahya Samancı,TRT 1,Cem Kılıç -  - Tuğçe Kazaz
Son Yaz,Dram -  - Polisiye,Burak Arlıel -  (1-16) -  - Semih Bağcı -  (7-26),FOX,Alperen Duymaz -  - Ali Atay -  - Hafsanur Sancaktutan -  - Funda Eryiğit -  - Birce Akalay
Kurtlar Vadisi Pusu,Aksiyon -  - Dram -  - Politik,"Sadullah Şentürk -  (1-51, 71-93)  -  - Zeynep Günay -  (52-57, 59-62)  -  - Zübeyr Şaşmaz -  (58, 63-70)  -  - Ali Can Gebeş -  (94-99, 162-171)  -  -  Selahattin Sancaklı (100-128)  -  - Onur Tan -  (129-161, 172-229)  -  -  Doğan Ümit Karaca (230-300)","Show TV -  (2007-2009)  -  - Star TV -  (2009-2010)  -  - TNT -  (2011-2012)  -  - atv -  (2010-2011, 2012-2014)  -  - Kanal D -  (2014-2016) -  -  - Tekrar yayınları -  - Beyaz TV -  (2018-2023) -  - TürkHaberTV -  (2023-) -  - 360 TV -  (2016-) -  - tv2 -  (2019)",Necati Şaşmaz -  - Cahit Kayaoğlu -  - Erhan Ufak -  - Ertuğrul Şakar -  - Gaye Gürsel -  - Defne Samyeli -  - Eski başroller -  - Gürkan Uygun -  - Kenan Çoban -  - Musa Uzunlar -  - Hakan Boyav -  - Ertan Saban -  - Görkem Sevindik -  - Çiğdem Batur -  - Ali Sürmeli -  - Mustafa Üstündağ -  - Burak Sevinç -  - Hüseyin Avni Danyal
Hayal ve Gerçek,Komedi -  - Fantastik -  - Romantik,Gürcan Mete Şener,atv,Yasemin Hadivent -  - Cem Kılıç -  - Zuhal Yalçın
Küçük Hanımefendi,Dram,Serpil Kurtça -  - Özer Kızıltan,TRT 1,Cansu Tosun -  - Barış Bağcı -  - Derya Alabora -  - Beyazıt Gülercan -  - Arsen Gürzap -  - Rıza Sönmez -  - Barış Hayta -  - Gamze Yarka -  - Zeynep Irgat -  - Ece Özdikici -  - Gamze Ozan -  - Gizem Akbal -  - Taner Ertürkler -  - Görkem Yeltan -  - Edip Saner -  - Yeliz Akkaya -  - Kazım Akşar -  - Serena Yapaöz -  - Arda Canikoğlu -  - Barış Arduç
Hercai,Dram -  - Aşk,Cem Karcı -  (1-34) -  - Benal Tairi -  (1-34) -  - Barış Yöş -  (35-43)  -  - Ali İlhan -  (44-69),atv,Akın Akınözü -  - Ebru Şahin
Maviye Sürgün,Dram,Nezaket Coşkun,Show TV -  (1-13),Caner Cindoruk -  - Damla Sönmez -  - Serkan Altunorak
Deli Gönül,Dram,Selim Demirdelen -  - Berat Özdoğan,FOX,Murat Ünalmış -  - Tuvana Türkay -  - Ayşe Çiğdem Batur -  - Ogün Kaptanoğlu
Uğurlugiller,Durum komedisi,Gürol Gökçe -  - Uğur Erkır -  - Aram Gülyüz,TRT 1 -  (1988-1991),Yıldız Kenter Şükran Güngör Tevfik Gelenbe Gül Onat Mehmet Birkiye Mübeccel Vardar Ayhan Kavas Mustafa Alabora Savaş Dinçel
Şaban Askerde,Komedi,Orhan Oğuz,Star TV,Kemal Sunal -  - Halit Akçatepe -  - Özlem Savaş -  - Canan Öztürk -  - Yaman Tarcan -  - Hüseyin Köroğlu -  - Nihat Nikerel -  - Dinçer Çekmez
Bizim Hikaye,Komedi -  - Dram,Serdar Gözelekli -  - (1-37) -  - Koray Kerimoğlu -  - (38-70),FOX,Hazal Kaya -  - Burak Deniz -  - Reha Özcan -  - Yağız Can Konyalı -  - Mehmet Korhan Fırat -  - Mehmetcan Mincinozlu -  - Sahra Şaş -  - Nejat Uygur
Yalancı Yarim,Aşk -  - Romantik -  - Komedi,Özer Kızıltan -  - Şengül Halat Atak,Star TV,Barış Akarsu -  - Merve Sevi -  - Bülent Kayabaş -  - Ayşe Kökçü
Çember,Polisiye -  - Gerilim -  - Aksiyon,Fulya Yavuzoğlu -  (1-11) -  - Mahir Aktaş -  (1-11) -  - Abdullah Oğuz -  (12-19),Star TV -  (2017-2019) -  - (11 bölüm) -  - Kanal D -  (2021-2022) -  - (8 bölüm),Pelin Akil -  - Barış Bağcı -  - Anıl Altan -  - Serhat Kılıç -  - Olgun Toker -  - Özgürcan Çevik -  - Tuvana Türkay -  - Serdar Orçin
Tek Yürek,Aile -  - Gençlik -  - Aksiyon -  - Spor,Mehmet Ada Öztekin -  (1) -  - Nezaket Coşkun -  (2-22),TRT 1,Tayanç Ayaydın -  - Vildan Atasever -  - Hilmi Cem İntepe -  - Anıl Tetik -  - Alpay Kemal Atalan -  - Eslem Akar -  - Tugay Bahşi -  - Arda Anarat -  - Atakan Yılmaz -  - Kaan Altay Köprülü
Salih Kuşu,Komedi,Ersoy Güler,Show TV,Levent Ülgen -  - Ayçin İnci -  - Goncagül Sunar -  - Bekir Aksoy -  - Murat Eken
Yalnız Kalpler,Dram,Cevriye Demir,FOX,Sena Şahin -  - Taygun Sungar -  - Elif Gülhan -  - Furkan Kapsız
Kahve Bahane,Komedi -  - Sitcom,Mustafa Altıoklar -  - Müge Turalı -  - Ayşin Akbulut -  - Ali Ercivan,Türkmax - [1],
Serseri,Romantik -  - Drama -  - Komedi,Cem Akyoldaş,Kanal D,Gamze Özçelik -  - Okan Yalabık -  - Erkan Petekkaya -  - Cüneyt Arkın
Mert ile Gert,Komedi,Hakan Algün,TRT 1,Emre Altuğ -  - Ragga Oktay -  - Begüm Birgören -  - Ayşen Gruda -  - Zihni Göktay -  - Aşkın Şenol -  - Işılay Gül -  - Eylem Yıldız -  - Serkan Keskin
Sıla,Dram -  - Aksiyon,Yasin Uslu -  - Gül Oğuz,atv,Cansu Dere -  - Mehmet Akif Alakurt -  - Zeynep Eronat -  - Menderes Samancılar -  - Devrim Saltoğlu -  - Fatoş Tez -  - Fatoş Sezer -  - Muhammed Cangören -  - Cemal Toktaş -  - Boncuk Yılmaz -  - Gökçe Yanardağ - 
Fatih,Drama -  - Tarihî,Merve Girgin -  - Faruk Teber,Kanal D -  ( - HD - ),Mehmet Âkif Alakurt -  - Gamze Özçelik -  - Seda Akman -  - Dağhan Külegeç -  - Hande Soral -  - Birkan Sokullu -  - Salih Bademci -  - Müjde Uzman -  - İbrahim Selim -  - Furkan Şentürk
Sevda Kuşun Kanadında,Tarihî -  - Dram -  - Aşk,Ayhan Özen,TRT 1 -  ( - HD - ),Sevtap Özaltun -  - Murat Ünalmış
Bir Deniz Hikayesi,Dram,Aydın Bulut -  - İlker İnanoğlu,Kanal D,Emir Berke Zincidi -  - Begüm Birgören -  - Emre Kızılırmak -  - Ozan Çobanoğlu -  - Başak Parlak
Hüsnü Bey Amca,Komedi -  - Sitcom,Ülkü Erakalın,TRT 1 -  (1994-1997),Gazanfer Özcan -  - Gönül Ülkü -  - Doğu Erkan -  - Gazanfer Ündüz -  - Fulya Özcan -  - Tarık Ündüz
Canım Ailem,Aile -  - Komedi,Sadullah Celen,atv,Uğur Yücel -  - Ozan Güven -  - Şebnem Bozoklu -  - Funda Eryiğit -  - Ezgi Mola -  - İlker Aksum -  - Oktay Gürsoy -  - Sezgi Mengi -  - Deniz Denker -  - Alpay Şayhan -  - Ayçe Abana -  - Bengi Öztürk -  - Hikmet Körmükçü -  - Candan Sabuncu -  - Nejat Birecik -  - Haldun Boysan -  - Onur Ünsal -  - Begüm Kütük Yaşaroğlu -  - Şeyda Şaşmaz
