Title,Tür,Yönetmen,Kanal,Başrol
Ağlama Anne,Dram,Feride Kaytan,atv,Birce Akalay -  - Cansel Elçin -  - Özlem Yılmaz
Doğruluk Ekseni,Dram,Taner Tunç,Samanyolu TV,Rahman Görede
Büyük Yalan,Drama,Yüksel Aksu -  - Adnan Güler,atv - [2],Emrah -  - Sinem Öztufan
Sensiz Olmuyor,Drama,Hakan Arslan -  - Taner Akvardar,Show TV -  (2005)  -  - Kanal D -  (2005),Özlem Conker -  - Yeliz Şar -  - Emre Altuğ -  - Okan Yalabık -  - İpek Tanrıyar -  - Ebru Gürsoy -  - Tayfun Çorağan -  - Zeynep Eronat -  - Mehmet Ali Kaptanlar -  - Ayşegül Uygurer -  - Kamil Sönmez -  - Bülent Şakrak -  - Durul Bazan -  - Mahir İpek -  - Onuryay Evrentan -  - Gülsüm Kamu -  - Aslan Altın
Üç Kadın,Dram,Atıf Yılmaz -  - Oğuz Yalçın -  - Çiğdem Sezgin,TRT 1,Fikret Hakan -  - İpek Tenolcay -  - Fatma Karanfil -  - Nefise Karatay -  - Murat Ünalmış -  - Suna Keskin -  - Zerrin Arbaş
Portatif Hüseyin,Komedi,Gül Erbil -  - Ümit Volkan,Star TV -  (1991-1992) -  - HBB -  (1992-1993),Nezih Tuncay -  - Orçun Sonat -  - Yasemin Koşat -  - Ali Yalaz -  - Hadi Çaman -  - Halit Akçatepe -  - Gönül Tuncay -  - Ayşegül Uygurer
20 Dakika,Dram -  - Aksiyon,Serdar Işık -  (1-5) -  - Ali Bilgin -  (6-25),Star TV -  ( - HD - ),Tuba Büyüküstün -  - İlker Aksum -  - Fırat Çelik -  - Bülent Emin Yarar -  - Müjde Uzman -  - İpek Bilgin -  - Ayten Uncuoğlu -  - Cihat Tamer -  - Metin Çekmez
Öğretmen,Gençlik -  - Psikolojik gerilim -  - Dram,Koray Kerimoğlu,FOX,İlker Kaleli -  - Ceren Moray -  - Afra Saraçoğlu -  - Serhat Kılıç -  - Serkan Keskin -  - Şerif Erol
Bizim Evin Halleri,Aile -  - Komedi -  - Duygusal -  - Dram,Tülay Eratalay -  - Tarık Alpagut -  - Cafer Özgül -  - [1],TRT 1 -  (14 Şubat 2000-30 Haziran 2006) -  - Kanal 1 -  (9 Ekim 2006-27 Haziran 2008) -  - atv -  (1 Eylül 2008-26 Aralık 2008),Beyhan Saran -  - Meral Niron -  - Emel Göksu -  - Ayşe Nil Şamlıoğlu -  - Şahap Sayılgan -  - Nusret Çetinel -  - Pervin Ünalp -  - Burak Demir -  - Murat Demir -  - Ozan Şenozan -  - Berfu Öngören -  - Hülya Gülşen Irmak -  - Dilara Yalçın
Adını Sen Koy,Dram -  - Romantik,Gül Güzelkaya -  - Atilla Cengiz -  - Irmak Çengel -  - Fulya Yavuzoğlu -  - Mahir Aktaş,"TRT 1 -  - (2016-2017, 1. sezon) -  - Star TV -  - (2017-2018, 2 ve 3. sezon) -  - TV8 -  - (2018, 4. sezon)",Erkan Meriç  (1-365) Hazal Subaşı  (1-365) Cenk Torun  (366-397) Deniz Durmaz  (366-397)
İlişki Durumu: Evli,Aşk -  - Gençlik -  - Romantik komedi,Bülent İşbilen,Show TV -  ( - HD - ),Berk Oktay -  - Seren Şirince -  - Nurseli İdiz -  - Serenay Aktaş
Çemberimde Gül Oya,Dram -  - Politik,Çağan Irmak,Kanal D,Selda Alkor -  - Özge Özberk -  - Mehmet Ali Nuroğlu -  - Tuba Büyüküstün -  - Melisa Sözen -  - Suzan Aksoy -  - Şerif Sezer -  - Kenan Bal -  - Işıl Yücesoy
Canevim,Dram -  - Aile,Adnan Güler,atv,Aras Aydın -  - Biran Damla Yılmaz -  - Özgür Çevik -  - Burcu Tuna -  - Ezgi Şenler -  - Nihan Büyükağaç -  - Rıza Akın -  - Bedia Ener
Sırılsıklam,Drama -  - Macera,Temel Gürsu,Show TV,İbrahim Erkal -  - Melis Yamalıoğlu -  - Süleyman Turan -  - Engin Koç -  - Canan Perver -  - Deniz Eroğlu -  - Yosi Mizrahi -  - Eşref Kolçak -  - Kuzey Vargın -  - Engin Günay -  - Şener Gezgen -  - Burçin Terzioğlu
Bahtiyar Ölmez,Komedi -  - Aksiyon,Cem Tabak -  - Ufuk Hakan Eren -  - Kartal Çidamlı,atv -  ( - HD - ),Yetkin Dikinciler -  - Hande Subaşı
Seddülbahir 32 Saat,Tarihî -  - Dramatik,Yasin Uslu,TRT 1,Okan Yalabık -  - İbrahim Çelikkol -  - Dolunay Soysert -  - Murat Ünalmış -  - İlker Aksum -  - Hakan Kurtaş -  - Giovanni Arvaneh -  - Uğur Güneş
Çatı Katı Aşk,Romantik komedi,Barış Yöş -  (1-3) -  - Fehmi Öztürk -  (3-8) -  - Şenol Sönmez -  (8-16),Kanal D,Furkan Andıç -  - Ezgi Şenler -  - Selin Şekerci -  - Nilay Deniz -  - Yiğit Kirazcı
Ezel,Aksiyon -  - Dram,Uluç Bayraktar,Show TV -  (28 Eylül 2009-11 Ocak 2010) -  - atv -  (25 Ocak 2010-20 Haziran 2011),Kenan İmirzalıoğlu -  - Cansu Dere -  - Yiğit Özşener -  - Barış Falay -  - Tuncel Kurtiz -  - Haluk Bilginer
İnadına Aşk,Romantik komedi,Osman Sınav -  - Yusuf Ömer Sınav,FOX,Can Yaman -  - Açelya Topaloğlu -  - Nilay Duru -  - Eren Vurdem
Hayat Bazen Tatlıdır,Dram -  - Komedi -  - Gençlik,Hamdi Alkan,Star TV,Birce Akalay -  - Ufuk Özkan -  - Kanbolat Görkem Arslan
Küstüm Çiçeği,Komedi -  - Aile,Kemal Uzun,TRT 1,Salih Kalyon -  - Füsun Demirel -  - Ali Erkazan -  - Esra Ronabar -  - Engin Hepileri -  - Sezin Akbaşoğulları -  - Sezgi Mengi -  - Ayşenur Yazıcı -  - Sevim Gelenbe -  - Murat Cemcir -  - Aydoğan Oflu -  - Erdal Tosun -  - Nalan Gücüpek -  - Ayfer Dönmez -  - Emin Gürsoy -  - Zeynep Evrim Aydın -  - Kaya Akarsu
İz Peşinde,Aksiyon -  - Dram -  - Duygusal -  - Gerilim -  - Macera -  - Polisiye,Hüseyin Karakaş,TRT 1 -  (1990-1991)  -  - Star TV -  (1995),Mehmet Aslantuğ -  - Erol Taş -  - Gülen Karaman -  - Osman Yağmurdereli -  - Serdar Bostancı -  - Bensu Orhunöz -  - Orsel Sonat
Bir İstanbul Masalı,Aşk -  - Drama,Ömür Atay,atv,Mehmet Aslantuğ -  - Ahu Türkpençe -  - Çetin Tekindor -  - Altan Erkekli -  - Arsen Gürzap -  - Vahide Perçin -  - İsmail Hacıoğlu -  - Ozan Güven
Beş Kardeş,Komedi,Onur Ünlü,Kanal D -  ( - HD - ),Serkan Keskin -  - Osman Sonant -  - Tansu Biçer -  - Nadir Sarıbacak -  - Fatih Artman
Aile Saadeti,Aile -  - Komedi,Cankat Ergin,atv,
Servet,Dram,Emir Khalilzadeh,Show TV,Bahar Şahin -  - Yusuf Çim
İkizler Memo-Can,Komedi -  - Aile,Erol Özlevi,Kanal D,Nehir Erdoğan -  - Özgürcan Çevik -  - Emir Berke Zincidi -  - Burak Hakkı -  - Tuğba Çınar -  - Atilla Saral
Aşağı Yukarı Yemişlililer,Komedi,Şahin Altuğ,atv,Şahin Irmak -  - Sülo  -  - Bülent Emrah Parlak -  - Mikail  -  - Murat Eken -  - Serhat  -  - Büşra Pekin -  - Menekşe  -  - Gülhan Tekin -  - Emine  -  - Burcu Gönder -  - Handan
Pulsar,Aile,Ayşe Şule Bilgiç -  - Mustafa Yaşar -  - Serkan İpekören -  - Kartal Çidamlı,Star TV,Pulsar Von Juliet -  - Ayberk Koçar -  - Buket Dereoğlu -  - Kayra Şenocak -  - Ecem Uzun
Bir Deli Sevda,Dram -  - Aile -  - Aşk,Hakan İnan,Show TV,Erkan Kolçak Köstendil -  - Cansu Tosun -  - Erdinç Gülener -  - Deniz Uğur -  - Cankat Aydos -  - Esra Kızıldoğan -  - Itır Esen -  - Zafer Algöz -  - Erkan Can
Tutunamayanlar,Absürt komedi,Murad Zaloğlu -  - Osman Nail Doğan,TRT 1,Doğu Demirkol -  - Ece Çeşmioğlu -  - Zafer Algöz -  - Barış Yıldız -  - Bora Akkaş
Kalk Gidelim,Dram -  - Komedi -  - Aile,Hatice Memiş -  - Mustafa Şevki Doğan -  - Tuğçe Küçükkalıpçı,TRT 1,Ufuk Özkan -  - Erkan Sever -  - Ayça Varlıer -  - Mehtap Bayri -  - Beyazıt Gülercan
Aynadaki Düşman,Dram -  - Aksiyon,Hakan Kurşun,TRT 1,Şafak Sezer -  - Haluk Piyes -  - Barış Kılıç -  - Mine Tugay -  - Mahir Günşiray -  - Fadik Sevin Atasoy
Küçük Kadınlar,Dram,Hakan Arslan,Kanal D -  (2008-2010) -  - Star TV -  (2010-2011),Özge Borak -  - Hande Soral -  - Fulya Zenginer -  - Ekin Türkmen -  - Elit İşcan -  - Selin Ilgar -  - Ali İl -  - Birsen Dürülü -  - Ahmet Tansu Taşanlar -  - Nur Hayat Boz -  - Kıvanç Kasabalı -  - Ahmet Levendoğlu -  - Burak Sağyaşar -  - Simge Selçuk -  - Hülya Şen -  - Cevdet Arıcılar -  - Ayşegül Günay -  - Duygu Keser -  - Emre Tetikel -  - Kemal Pekser
Umuda Kelepçe Vurulmaz,Dram -  - Gençlik,Cemal Şan,FOX,Begüm Birgören -  - Özge Özder -  - Mert Yazıcıoğlu -  - Melisa Şenolsun -  - Burak Dakak
Yuva,Duygusal -  - Aile,Mehmet Taşdiken,TRT 1,Tamer Yiğit -  - Sema Çelebi -  - Muhterem Nur -  - Mesut Çakarlı -  - Tunç Güntay -  - Kuzey Vargın -  - Nazan Saatçi
Adı Mutluluk,Gençlik -  - Dram -  - Romantik komedi,Ersoy Özlevi,FOX,Ezgi Eyüboğlu -  - Dilara Aksüyek -  - Kaan Yıldırım
İkinci Bahar,Dram,Uğur Yücel -  - Orhan Oğuz -  - Türkan Derya,atv -  (1998-2001) - ,Türkan Şoray -  - Şener Şen -  - Tarık Papuççuoğlu -  - Güven Hokna -  - Nedim Saban -  - Özkan Uğur -  - Nurgül Yeşilçay -  - Ozan Güven
Yaralı Kuşlar,Dram,Yasemin Erkul -  - Ece Tahtalıoğlu Pertez,Kanal D -  ( - HD - ),Gizem Arıkan -  - Emre Mete Sönmez -  - Ali Yasin Özegemen -  - Ayşen İnci -  - Özgür Özberk -  - Elif Erol -  - Melis Cemre Çınar
Siyah Beyaz Aşk,Dram -  - Aşk,Yasin Uslu,Kanal D,İbrahim Çelikkol -  - Birce Akalay
Adak,Drama,Adnan Güler,Show TV,Emrah -  - Hande Subaşı
Ulan İstanbul,Aksiyon -  - Komedi -  - Macera -  - Aşk,Murat Onbul,Kanal D -  ( - HD - ) (1-39),Uğur Polat -  - Şebnem Bozoklu -  - Erkan Kolçak Köstendil -  - Kaan Yıldırım -  - Sevtap Özaltun -  - Salih Bademci
Cam Tavanlar,Drama -  - Romantik komedi,Fehmi Öztürk,Show TV,Bensu Soral -  - Kubilay Aka
Hıyanet Sarmalı,Dram -  - Aksiyon,Taner Tunç,Samanyolu TV,Ali Başar -  - Emre Taşkıran -  - Cem Uçan
Bay Yanlış,Romantik komedi,Deniz Yorulmazer,FOX,Can Yaman -  - Özge Gürel
Uyanış: Büyük Selçuklu,Tarihî -  - Kurgu -  - Aksiyon -  - Dram,Sedat İnci,TRT 1,Buğra Gülsoy -  - Ekin Koç -  - Hatice Şendil -  - Gürkan Uygun -  - Sezin Akbaşoğulları -  - Sevda Erginci -  - Mehmet Özgür -  - Leyla Lydia Tuğutlu -  - Cemal Toktaş -  - İlker Kızmaz -  - Ali Gözüşirin -  - Leyla Feray -  - Pınar Töre -  - Bülent Alkış
Hatırla Sevgili,Dram -  - Romantik -  - Tarihî,Ümmü Burhan,atv,Cansel Elçin -  - Beren Saat -  - Okan Yalabık
Aile İşi,Komedi -  - Dram -  - Aile,Jale Atabey,atv,Ufuk Özkan -  - Pelin Akil -  - Hasibe Eren -  - Gülay Baltacı -  - Sait Genay -  - Murat Akkoyunlu -  - Can Bonomo -  - Özgür Emre Yıldırım -  - Osman Wöber
Süper Baba,Dram,Osman Sınav -  - Tunca Yönder -  - Orhan Oğuz -  - Kartal Tibet -  - Feyzi Tuna,atv,Şevket Altuğ -  - Jülide Kural -  - Seray Gözler -  - Sümer Tilmaç -  - İsmet Ay -  - Şevval Sam -  - Bennu Yıldırımlar
Mehmetçik Kut'ül Amare,Tarihî -  - Kurgu -  - Savaş,Mustafa Şevki Doğan -  - Kamil Aydın,TRT 1,Kaan Taşaner -  - İsmail Hacıoğlu -  - İsmail Ege Şaşmaz -  - Cansu Tosun -  - Özgü Kaya -  - İlker Aksum -  - Serdar Gökhan
Gümüş,Dram -  - Romantik,Tarık Alpagut -  - Kemal Uzun,Kanal D -  (2005-2007),Kıvanç Tatlıtuğ -  - Songül Öden -  - Ekrem Bora
Küçük Besleme,Dram,Tunca Yönder,Star TV -  (1999-2001),Tomris Oğuzalp -  - Nur Kulakoğlu -  - Esmeray -  - Gökhan Eğilmezbaş -  - Kuzey Vargın
Kuruntu Ailesi,Komedi -  - Sitcom,Uğur Erkır,TRT 1 -  (10 Ekim 1985-29 Aralık 1990),Gazanfer Özcan -  - Gönül Ülkü -  - Doğu Erkan -  - Gazanfer Ündüz -  - Fulya Özcan -  - Zihni Göktay -  - Can Kolukısa
Vay Anam Vay,Komedi,Erdoğan Engin,Kanal D,Nevra Serezli -  - Atilla Olgaç -  - Sıdıka Şenkan -  - Ayhan Kavas -  - Gülen Karaman -  - Hakan Vanlı -  - Burçak Işımer -  - Metin Zakoğlu -  - Saydam Yeniay -  - Melike Güner -  - Alev Cınbarcı -  - Rüyam Olunçay -  - Parkan Özturan -  - Kaya Gürel -  - Ezgim Kılınç -  - Mustafa Uzunyılmaz -  - Nesrin İşçi -  - Nihal Menzil - 
Gülümse Yeter,Aile -  - Komedi,Serdar Gözelekli,Show TV,Erdal Özyağcılar -  - Aslı Bekiroğlu -  - Yılmaz Kunt -  - Seray Kaya -  - Pamir Pekin -  - Sermet Yeşil
Aliye,Dram,Kudret Sabancı,atv -  (2004-2006),Sanem Çelik -  - Nejat İşler -  - Halit Ergenç
Akıncı,Aksiyon,Levent Türkan -  (13-20) -  - Gökhan Erkut -  (13-20) -  - Veli Çelik -  (1-12),atv,Şükrü Özyıldız -  - Büşra Develi
Halka,Aksiyon -  - Dram -  - Polisiye -  - Suç,Volkan Kocatürk -  - Başak Soysal -  - Süleyman Mert Özdemir,TRT 1,Nazan Kesal -  - Serkan Çayoğlu -  - Kaan Yıldırım -  - Hande Erçel -  - Hazal Subaşı -  - Ahmet Mümtaz Taylan
Kalp Atışı,Dram -  - Romantik -  - Medikal,Yusuf Pirhasan,Show TV,Gökhan Alkan -  - Öykü Karayel
Kurtuluş,Tarihî,Ziya Öztan,TRT 1,Rutkay Aziz -  - Mahmut Cevher -  - Savaş Dinçel -  - Altan Erkekli -  - Ayda Aksel -  - Macide Tanır
Keşanlı Ali Destanı,Epik -  - Dram -  - Politik,Çağan Irmak,Kanal D,Nejat İşler -  - Belçim Bilgin
Kınalı Kuzular,Tarihî,Tunç Davut,TRT 1,
Kış Güneşi,Dram -  - Romantik,Murat Onbul -  (1-5) -  - Deniz Koloş -  - Serhan Şahin,Show TV,Şükrü Özyıldız -  - Aslı Enver -  - Şenay Gürler -  - Mahir Günşiray -  - Başak Parlak -  - Hakan Gerçek -  - Berrak Kuş -  - Mehmet Esen -  - Hakan Boyav
Hicran,Dram,Gürsel Ateş -  - Nuh Şen -  - Mehtap Köroğlu,Kanal D,Nisa Sofia Aksongur -  - Elçin Zehra İrem -  - Berk Bakioğlu
Makina Kafa,Talk show,Efe Hızır -  - Barış Gürkan,Show TV,
Görgüsüzler,Komedi,Yaşar Seriner,atv,Melek Baykal -  - Zeki Alasya -  - Çağla Şikel -  - Mert Öcal -  - Levent Ülgen -  - Zihni Göktay -  - Ümit Yesin -  - Veysel Diker -  - Şeyla Halis -  - Bahar Öztan
Aşk-ı Memnu,Dram -  - Romantik,Hilal Saral,Kanal D -  ( - HD - ),Beren Saat -  - Kıvanç Tatlıtuğ -  - Selçuk Yöntem -  - Hazal Kaya -  - Nebahat Çehre -  - Zerrin Tekindor -  - Nur Fettahoğlu
Aşk Laftan Anlamaz,Romantik komedi,Müge Uğurlar -  - Bahadır İnce,Show TV -  ( - HD - )  -  -  (2016-2017),Hande Erçel -  - Burak Deniz
Türkan,Dram,,Kanal D -  ( - HD - ),Pınar Öğün -  - Saygın Soysal -  - Özgürcan Çevik
Güldünya,Dram,Ömür Atay,Star TV -  (2008-2009),Sanem Çelik -  - Yeliz Doğramacılar -  - Songül Öden
Baba,Dram,Çağrı Bayrak,Show TV,Haluk Bilginer -  - Tolga Sarıtaş
Genco,,Kemal Uzun,Kanal D,Alpay Kemal Atalan -  - Selen Seyven -  - Hazal Kaya
İçerde,Aksiyon -  - Polisiye -  - Dram,Uluç Bayraktar,Show TV,Çağatay Ulusoy -  - Aras Bulut İynemli -  - Çetin Tekindor -  - Mustafa Uğurlu
Son Nefesime Kadar,Dram -  - Polisiye,Deniz Çelebi Dikilitaş,FOX,Nurgül Yeşilçay -  - Emre Kınay -  - Ertan Saban
Kayıtdışı,Aksiyon -  - Derin devlet -  - Mafya -  - Politik,Cevdet Mercan,FOX,Erkan Petekkaya -  - Songül Öden -  - Dolunay Soysert -  - İsmail Hacıoğlu -  - Ahmet Mekin -  - Bahar Şahin -  - Serdar Orçin -  - Rutkay Aziz
Hürrem Sultan,Tarihî,Fatih Aksoy -  - Fatmanur Sevinç,Star TV -  (2003),Gülben Ergen -  - Ali Sürmeli -  - Hatice Aslan -  - Serdar Deniz
Kiraz Mevsimi,Aşk -  - Gençlik -  - Romantik komedi,Filiz Gülmez Pakman -  - Eda Teksöz,FOX -  (2014-2015) -  - teve2 -  (2018) (tekrar),Özge Gürel -  - Serkan Çayoğlu -  - Dağhan Külegeç -  - Nilperi Şahinkaya
Sol Yanım,Dram,Serdar Gözelekli,Star TV,Özge Yağız -  - Tolga Mendi -  - Cemre Baysel -  - Emre Bey -  - Defne Samyeli -  - Cansel Elçin
Yalancı,Dram -  - Psikolojik gerilim,Hülya Gezer,Show TV,Burçin Terzioğlu -  - Salih Bademci
Yeşeren Düşler,Dram,Taner Tunç,Samanyolu TV,Bilgehan Birincioğlu Gülşah Şahin
Leke,Dram -  - Aile,Metin Balekoğlu -  (1-6) -  - Şenol Sönmez -  (7-9),Kanal D,Burak Sevinç -  - Melis Sezen
Acı Hayat,Dram -  - Aksiyon,Abdülkadir Ceylan Ede,Show TV,Kenan İmirzalıoğlu -  - Selin Demiratar -  - Oğuz Galeli -  - Ebru Kocaağa -  - Ahmet Yenilmez -  - Murat Soydan -  - Meral Orhonsay -  - Ferdi Merter -  - Anta Toros
Doksandokuz,Dram -  - Dinî,Gül Güzelkaya,Kanal 7,
Benim Adım Gültepe,Dram,Zeynep Günay -  - Deniz Koloş,Kanal D,Mete Horozoğlu -  - Ayça Bingöl -  - İlker Kızmaz
Dostlar Mahallesi,Komedi -  - Mahalle,Ayhan Özen,Kanal D,Çağla Şikel -  - Alişan -  - Hande Katipoğlu -  - Ersin Korkut -  - Zeynep Eronat
Evlat Kokusu,Dram -  - Aşk,Erol Özlevi -  - Gökçe Usta,Kanal D,Barış Kılıç -  - Hande Soral -  - Murat Han -  - Sedef Avcı -  - Yeşim Salkım -  - Nail Kırmızıgül -  - Selen Uçer
Barbaroslar: Akdeniz'in Kılıcı,Tarihî -  - Kurgu -  - Aksiyon -  - Macera,Berat Özdoğan -  (6-32) -  - Doğan Ümit Karaca -  (1-7),TRT 1,Engin Altan Düzyatan -  - Ulaş Tuna Astepe -  - Yetkin Dikinciler -  - Caner Topçu -  - Yiğit Özşener -  - Pelin Akil -  - Bahadır Yenişehirlioğlu -  - Emir Benderlioğlu -  - Devrim Evin
Şefkat Tepe,Aksiyon -  - Askeri -  - Dram -  - Savaş,Erhan Baytimur -  - Engin Koç,Samanyolu TV,Mert Kılıç -  - Ertuğrul Şakar -  - Aslıhan Güner -  - Dilara Büyükbayraktar -  - Mehmet Korhan Fırat -  - Bora Karakul -  - Merve Akaydın -  - Gülşah Küçükyıldız
Şeref Meselesi,Dram,Altan Dönmez,Kanal D -  ( - HD - ),Kerem Bürsin -  - Şükrü Özyıldız
Merhamet,Dram,Çağatay Tosun,Kanal D,Özgü Namal -  - İbrahim Çelikkol -  - Mustafa Üstündağ -  - Burçin Terzioğlu -  - Yasemin Allen
Yabancı Damat,Dram,Yağmur Taylan -  - Durul Taylan,Kanal D -  (2004-2007),Erdal Özyağcılar -  - Sumru Yavrucuk -  - Nehir Erdoğan -  - Özgür Çevik -  - Arif Erkin -  - Zeki Alasya -  - Binnur Kaya -  - Tülin Oral -  - Yılmaz Gruda
Harem,Sitcom,Süleyman Seçik,FOX -  ( - HD - ),Levent Üzümcü -  - Nurseli İdiz -  - Belma Canciğer -  - Başak Sayan -  - Çiçek Dilligil -  - Duygu Şen -  - Zuhal Yalçın -  - Önder Açıkbaş -  - Mehmet Ali Erbil -  - Serhan Arslan -  - Gamze Karaman -  - Ömür Özdemir -  - Hande Katipoğlu
Muhteşem Yüzyıl: Kösem,Tarihî -  - Drama -  - Aksiyon -  - Yarıkurgu,Çağatay Tosun -  - Zeynep Günay,Star TV -  ( - HD - ) (2015-2016)  -  - FOX -  ( - HD - ) (2016-2017),1. sezon Beren Saat Ekin Koç Aslıhan Gürbüz Anastasia Tsilimpiou Hülya Avşar Tülin Özen 2. sezon Nurgül Yeşilçay Metin Akdülger Farah Zeynep Abdullah Tugay Mercan
Hayat Bugün,Medikal -  - Dram,Çiğdem Bozali -  (1-4) -  - Volkan Kocatürk -  (5-8),Show TV,Ulaş Tuna Astepe -  - Hazar Ergüçlü -  - Tansel Öngel -  - Hande Doğandemir
Ritmini Arayan Kalpler,Dram,Hasan Kıraç,Samanyolu TV,Yaren Aynuz
Kusursuz Kiracı,Dram,Yusuf Pirhasan,FOX,Dilan Çiçek Deniz -  - Serkay Tütüncü -  - Bennu Yıldırımlar
Babil,Dram -  - Psikolojik gerilim,Uluç Bayraktar,Star TV,Halit Ergenç -  - Ozan Güven -  - Aslı Enver -  - Birce Akalay -  - Nur Fettahoğlu -  - Mesut Akusta -  - Onur Saylak
Aşk ve Ceza,Dram -  - Aşk -  - Romantik,Kudret Sabancı,atv,Murat Yıldırım -  - Nurgül Yeşilçay -  - Feride Çetin -  - Tomris İncer -  - Caner Kurtaran
Güneşin Kızları,Romantik -  - Komedi -  - Drama -  - Aile,Sadullah Celen,Kanal D,Emre Kınay -  - Evrim Alasya -  - Tolga Sarıtaş -  - Burcu Özberk -  - Hande Erçel -  - Berk Atan
İçimizden Biri,Aşk -  - Komedi -  - Dram,Ersoy Güler,Show TV,Bora Akkaş -  - Özge Yağız -  - Mustafa Avkıran -  - Derya Alabora -  - Benian Dönmez -  - Renan Bilek
Efsane,Fantastik -  - Polisiye -  - Macera,Tunç Başaran,Star TV -  (2002),Şemsi İnkaya -  - Tardu Flordun
Aşk ve Gurur,Dram -  - Aşk,Taner Akvardar,"Show TV -  (2017)  -  - Show Max -  (2019, tekrar)",Mert Fırat -  - Damla Sönmez -  - Alper Saldıran -  - Tülin Özen -  - Ahmet Rıfat Şungar
Aşk Ağlatır,Dram,Gökçen Usta,Show TV,Deniz Can Aktaş -  - Hafsanur Sancaktutan -  - Yağız Can Konyalı -  - Eda Şölenci
Bir Umut Yeter,Drama,Yusuf Pirhasan,Kanal D,Tolgahan Sayışman -  - Esra Bilgiç -  - Hazal Subaşı - 
Seksenler,Sitcom -  - Nostalji -  - Romantik,"Birol Güven -  - (2012) -  - Müfit Can Saçıntı -  - (2012-2016) -  - Bora Tekay -  - (2016-2017, 2019-2021, 2022) -  - Mustafa Uğur Yağcıoğlu -  - (2021-2022)",TRT 1 -  - Beyaz TV -  (tekrar),Özlem Türkad -  - Şoray Uzun -  - Ayşe Tolga -  - İlker Ayrık -  - Zeynep Sever -  - Eski başroller -  - Rasim Öztekin -  - Yasemin Baştan -  - Serhat Kılıç -  - Ceyhun Fersoy
Bir Zamanlar Osmanlı,Tarihî,Altan Dönmez,TRT 1 -  ( - HD - ),Türkân Şoray -  - Özcan Deniz -  - Aslı Tandoğan -  - Cemal Hünal -  - Tolga Karel -  - Hâzım Körmükçü -  - Fırat Tanış
Kalbimin Sultanı,Tarihî,,Star TV,Ali Ersan Duru -  - Alexandra Nikiforova -  - Tansel Öngel -  - Emel Çölgeçen
Dinle Sevgili,Dram -  - Aşk,Neslihan Yeşilyurt,FOX,Cem Kılıç
Kanıt,Polisiye,Biray Dalkıran,Kanal D -  ( - HD - ),Sevil Atasoy -  - Engin Benli -  - Deniz Celiloğlu -  - Tolga Karel
Çiçek Taksi,Aile -  - Komedi,Yaşar Seriner -  - Ümit Efekan -  - Mehmet Bozkuş -  - Erdoğan Tokatlı,"atv -  (1995-1998, 2000, 169 Bölüm) -  - TRT 1 -  (2001-2003, 198 Bölüm)",Erol Günaydın -  - Eşref Kolçak -  - Ümit Yesin -  - Bekir Aksoy -  - Cengiz Küçükayvaz - 
Karayılan,Tarihî -  - Dram,Cem Akyoldaş -  - Feride Kaytan,atv,Bülent İnal -  - Begüm Birgören -  - Engin Akyürek
İsimsizler,Polisiye -  - Aksiyon -  - Askeri -  - Savaş,Osman Kaya -  (1-2) -  - Emre Konuk -  (3-13) -  - Volkan Kocatürk -  - (14-27),Kanal D,1. Sezon Uğur Güneş Algı Eke Bülent Alkış Taner Ertürkler Sedat Mert Çağkan Çulha Volkan Keskin Musab Ekici Sera Kutlubey 2. Sezon Uğur Güneş Hande Soral Kürşat Alnıaçık Bülent Alkış Çağkan Çulha Mert Öcal Musab Ekici Osman Wöber
Kasaba Doktoru,Medikal -  - Dram -  - Romantik,Arda Sarıgün -  (1-21) -  - Bahadır İnce -  (22-32),TRT 1,Ozan Akbaba -  - Deniz Can Aktaş -  - Hazal Subaşı
Halil İbrahim Sofrası,Komedi -  - Aile -  - Dram,Ahmet Katıksız,TRT 1,Hasan Kaçan -  - Kadir Çöpdemir -  - Ahmet Yenilmez -  - Burak Satıbol -  - Seray Gözler -  - Ayçe Abana -  - Özlem Türay -  - İnan Ulaş Torun -  - Özge Sezince Varley -  - Serkan Ercan
Gözlerinde Son Gece,Drama,Faruk Turgut,Star TV,Türkan Şoray -  - Rutkay Aziz -  - Kaan Girgin -  - Selen Yıldız -  - Levent Özdilek -  - Atilla Olgaç -  - Bülent Bilgiç
Sana Bir Sır Vereceğim,Aile -  - Drama -  - Fantastik,Cevriye Demir -  - Filiz Gülmez Pakman,FOX,Murat Han -  - Esra Ronabar -  - Ekin Koç -  - Demet Özdemir
Benim Annem Bir Melek,Aile -  - Durum komedisi,Hakan Algül,atv -  (2008-2009)  -  - Star TV -  (2009-2010)  -  - a2 -  (tekrar),Oya Başar -  - Tarık Ünlüoğlu -  - Dolunay Soysert -  - Ali Sunal -  - Şehsuvar Aktaş -  - Ayçin İnci
Küçük İbo,Dram -  - Gerilim,,Show TV,"İbrahim Küçük -  (İbo), -  - Bülent Bilgiç -  (Hasan), -  - Yasemin Koşal -  (Aysel), -  - Levent Üzümcü -  (Raşit), -  - Nazan Ersan -  (Cemile), -  - Selen Güzel -  (Mine), -  - Ceyda Ateş -  (Elmas), -  - Canan Kılıç -  (Ayşe), -  - Günyol Bakoğlu -  (Mehmet), -  - Nurhan Yılma -  (Menekşe), -  - Şinasi Yurtsever -  (Selçuk) -  - Canan Akgül -  (Hatice) -  - Merve Erdoğan -  ()"
